settlement_id,payment_id,settlement_amount,fees_deducted
setl_Dx16uMFWPC3ITy,pay_6I5NBldlDkCh3E,47444.34,1501.66
setl_Dx16uMFWPC3ITy,pay_7A4dhjkuRv630p,47444.34,1501.66
setl_Dx16uMFWPC3ITy,pay_AUMspFhHJsUyya,47444.34,1501.66
setl_Dx16uMFWPC3ITy,pay_XMRqOGqleigCCR,47444.34,1501.66
setl_IlBhDdQmWT5O77,pay_Eo8dnNzoCXB1Bh,159362.98,5044.02
setl_IlBhDdQmWT5O77,pay_WNyDLzErVgpEMi,159362.98,5044.02
setl_IlBhDdQmWT5O77,pay_kjyA6CSpJso5qf,159362.98,5044.02
setl_IlBhDdQmWT5O77,pay_yeTr5RHguX1d5s,159362.98,5044.02
setl_5ukJJMT27TXOKN,pay_3MsHarAJOCBnD3,857826.87,27151.13
setl_5ukJJMT27TXOKN,pay_8AHkxv78JaYb3F,857826.87,27151.13
setl_5ukJJMT27TXOKN,pay_Ei1L9rPzzjrqM4,857826.87,27151.13
setl_5ukJJMT27TXOKN,pay_e71imARDL6KFQr,857826.87,27151.13
setl_5ukJJMT27TXOKN,pay_ekgd2IbyVfqjO2,857826.87,27151.13
setl_oIokORpJ3mItzE,pay_8NR0Xy8ZEurHi0,209207.37,6621.63
setl_oIokORpJ3mItzE,pay_FxAIiKpuSjjud5,209207.37,6621.63
setl_oIokORpJ3mItzE,pay_REJpxYyhIKHQI7,209207.37,6621.63
setl_NT2nYr6JqpYWLS,pay_2qFl41sNLjVHWG,40050.36,1267.64
setl_NT2nYr6JqpYWLS,pay_BzPoBrUBHtYDZw,40050.36,1267.64
setl_NT2nYr6JqpYWLS,pay_U4arG5RBmHWOR3,40050.36,1267.64
setl_lBZ1Blkedp3DGE,pay_TfRNfRT8LjIcku,15263.88,483.12
setl_gE3uJI4pjYUgXy,pay_BsRllvTrZ4Iejs,309293.53,9789.47
setl_gE3uJI4pjYUgXy,pay_M519XgOMzEU5gB,309293.53,9789.47
setl_gE3uJI4pjYUgXy,pay_d6X7U8WL1gIFkh,309293.53,9789.47
setl_X1Hk2qIL62GFJv,pay_45kkrl0M17EmxI,23287.91,737.09
setl_X1Hk2qIL62GFJv,pay_81mOOBMWlsCDbk,23287.91,737.09
setl_X1Hk2qIL62GFJv,pay_e8danYlgmKG1Vt,23287.91,737.09
setl_nTRxFlNydZU9Vm,pay_41odbJIqO3hMOB,105654.92,3344.08
setl_nTRxFlNydZU9Vm,pay_CLjPXRLt9h9RDZ,105654.92,3344.08
setl_nTRxFlNydZU9Vm,pay_I1uTwWGxOnx3iU,105654.92,3344.08
setl_nTRxFlNydZU9Vm,pay_bxKl1Kvk3UQrxk,105654.92,3344.08
setl_nTRxFlNydZU9Vm,pay_vP8O7FRthvDJPz,105654.92,3344.08
setl_rs5OY1JgeZknT3,pay_OC56aMIgHFivep,38968.61,1233.39
setl_rs5OY1JgeZknT3,pay_QzkChMbyIbNiCd,38968.61,1233.39
setl_rs5OY1JgeZknT3,pay_nQjENGsB4Djh30,38968.61,1233.39
setl_1bjJWTKvbsDOTl,pay_euPH7M3EHMoQro,3640.76,115.24
setl_LmazDnKf7jdjjm,pay_3tlrtBhjqaMFmv,165234.17,5229.83
setl_LmazDnKf7jdjjm,pay_5LaakIREyf2OH3,165234.17,5229.83
setl_LmazDnKf7jdjjm,pay_J6iUo8k2fRN2Bq,165234.17,5229.83
setl_hQRCCOdLUfgyil,pay_1T1UIoWXrP5y78,44524.74,1409.26
setl_hQRCCOdLUfgyil,pay_wumVYe5VJfXRgt,44524.74,1409.26
setl_hSBSP5V5mMTcJA,pay_0gwrGhsxsbiWA6,2255.61,71.39
setl_hSBSP5V5mMTcJA,pay_jAulA3QMr2qEwq,2255.61,71.39
setl_uHOC2YWgVrgrWQ,pay_0Xv00kKXR4bR6I,31142.31,985.69
setl_uHOC2YWgVrgrWQ,pay_HkOwOZGx4Gv1ED,31142.31,985.69
setl_uHOC2YWgVrgrWQ,pay_viirWz5knFZXIQ,31142.31,985.69
setl_uHOC2YWgVrgrWQ,pay_y5Kcnm1ys3J6xI,31142.31,985.69
setl_MiuaP8jrh0KRw7,pay_GQkqqjkrsWw6SE,25637.54,811.46
setl_MiuaP8jrh0KRw7,pay_q19Qf7W491h1pS,25637.54,811.46
setl_S0eUOXnPKhREbg,pay_bV92hB0BckOW2k,39183.8,1240.2
setl_8hrAwuwt5nb63W,pay_WDFDTA7Xrc5UTI,26669.88,844.12
setl_b95AwkoEdLdS7A,pay_x7CHHP1QXqE7rs,1457097.33,46118.67
setl_1bohrO3vq1ZQNn,pay_H8cyV7lB2Vrks4,192687.23,6098.77
setl_1bohrO3vq1ZQNn,pay_QPHhalZaAHv9O5,192687.23,6098.77
setl_1bohrO3vq1ZQNn,pay_T5lbbFj1hnunT6,192687.23,6098.77
setl_SrphM4zE4Nw3te,pay_72YJR7IVU7CCKb,504662.9,15973.1
setl_SrphM4zE4Nw3te,pay_BIZMLhfx9IwiLy,504662.9,15973.1
setl_SrphM4zE4Nw3te,pay_E40fAraVNqTIAa,504662.9,15973.1
setl_SrphM4zE4Nw3te,pay_NoK9oM3tTUMdxs,504662.9,15973.1
setl_SrphM4zE4Nw3te,pay_hJyV4ZjtfbaVjM,504662.9,15973.1
setl_BP9xAkpDgZpAgI,pay_4iCppaX3QjBvKN,5929.33,187.67
setl_BP9xAkpDgZpAgI,pay_yjQ312WnXRCI4h,5929.33,187.67
setl_VXFcb4XIgyVfkG,pay_9RshuS1HzRyYWG,29237.6,925.4
setl_HGYPBjbS8RCmcC,pay_6cv1WChGtaPxgw,46802.64,1481.36
setl_HGYPBjbS8RCmcC,pay_SwCgOawNXHxg3E,46802.64,1481.36
setl_pCoec1wGrsXkRb,pay_0D1K6e3F1xsd0i,9016.61,285.39
setl_pCoec1wGrsXkRb,pay_1dOOdTXglHilC2,9016.61,285.39
setl_pCoec1wGrsXkRb,pay_gYJ9ZGkjfsTCT9,9016.61,285.39
setl_JlGGwAApbhamP2,pay_FSq0sqhnHsN6ri,65217.78,2064.22
setl_JlGGwAApbhamP2,pay_gSZfd3DBwGKGyq,65217.78,2064.22
setl_myZ5BpByZeKGZR,pay_CzH7mtqhjQZRcZ,93774.91,2968.09
setl_myZ5BpByZeKGZR,pay_UJfAWjuDUHqyAR,93774.91,2968.09
setl_myZ5BpByZeKGZR,pay_fHtKE5vlbGxf8H,93774.91,2968.09
setl_myZ5BpByZeKGZR,pay_wkWolGc97KYZUz,93774.91,2968.09
setl_Db8yAtuKUXdKPh,pay_GNtvHXBwqsaY0v,86228.76,2729.24
setl_Db8yAtuKUXdKPh,pay_rwQuDBWEgOfrZ3,86228.76,2729.24
setl_pbOKH6eSU1Nqap,pay_98i54tI6ht2TV2,64791.27,2050.73
setl_pbOKH6eSU1Nqap,pay_TfVc0PkwBM2fYl,64791.27,2050.73
setl_pbOKH6eSU1Nqap,pay_ZmZ2TAYeQbScel,64791.27,2050.73
setl_9eWcLFYsZY5yL9,pay_HXw3HNfVOwOc8Q,402371.52,12735.48
setl_9eWcLFYsZY5yL9,pay_NMdZEHNJSsavJl,402371.52,12735.48
setl_NOmKQYxIszxgnr,pay_OannOrMc2zVE9S,461733.64,14614.36
setl_NOmKQYxIszxgnr,pay_bn9nbFhSXxNVMK,461733.64,14614.36
setl_dDqoktlT7PKK49,pay_xDALAj7DVAf4sH,7036.3,222.7
setl_dDqoktlT7PKK49,pay_ynZQEkmNRral4M,7036.3,222.7
setl_BaS4kA9ObCFYHk,pay_rLt8BIs1le0DQl,1402.61,44.39
setl_fdjPbXMf566XoQ,pay_PU6zUjzgEz6cwB,4086.65,129.35
setl_UJK2WBjg87THM7,pay_3YV0eDh1uznmdJ,30235.03,956.97
setl_UJK2WBjg87THM7,pay_L0brHeLUtINcq8,30235.03,956.97
setl_UJK2WBjg87THM7,pay_NpUGWiA437GQ6B,30235.03,956.97
setl_5FY0853siUB2wF,pay_uFWBeMC71N5ALz,2744.14,86.86
setl_5JBFBakYqcDDf0,pay_YKVMxA9zdpotfQ,3393.58,107.42
setl_0xfKfOfj3PKXLA,pay_ED8LNi65xIHEHo,31177.2,986.8
setl_0xfKfOfj3PKXLA,pay_aXKyp8KQQjVpEQ,31177.2,986.8
setl_4jTy6P0PdcvSqX,pay_INuhR694fPFbt6,10228.27,323.73
setl_WAvc3Nkr3QIuxg,pay_qzycRJlTnHW4PF,4433.67,140.33
setl_5K1ONlN25RrLxp,pay_LHpaUaGGxmXzgA,31393.35,993.65
setl_5K1ONlN25RrLxp,pay_UYdg2luCq1GNLL,31393.35,993.65
setl_5K1ONlN25RrLxp,pay_hgmmqGmRscEm5u,31393.35,993.65
setl_qLbCteaIgi8wVZ,pay_AxvpCPZygFP0xO,433627.23,13724.77
setl_qLbCteaIgi8wVZ,pay_Xe7CpRsZe9Obzx,433627.23,13724.77
setl_qLbCteaIgi8wVZ,pay_nFvgQKGtn9dm6V,433627.23,13724.77
setl_zHhFJWnHHFM2iq,pay_x4yfpARHeT9Rlx,2508.6,79.4
setl_D9UBJAMdsnZKUS,pay_73Y5Slj9C2EfyC,7150.67,226.33
setl_D9UBJAMdsnZKUS,pay_fPOdMTUAffneKG,7150.67,226.33
setl_wULY92SgnS3v8c,pay_FeYVGS7kUaS550,356009.91,11268.09
setl_wULY92SgnS3v8c,pay_InV5p7ByT8KG9s,356009.91,11268.09
setl_wULY92SgnS3v8c,pay_cJjNcJdql7LIbS,356009.91,11268.09
setl_wULY92SgnS3v8c,pay_nnUhRiTRAdgKDK,356009.91,11268.09
setl_pIfuZbk4rsihgt,pay_Dxw3Hq9OBiUa2R,46602.0,1475.0
setl_pIfuZbk4rsihgt,pay_Wx4sKAJd7gVMqf,46602.0,1475.0
setl_blrbJydUE4UVhq,pay_3NjMS6XMmej2Gp,284571.03,9006.97
setl_blrbJydUE4UVhq,pay_SpcMdK3nLh7fLx,284571.03,9006.97
setl_blrbJydUE4UVhq,pay_X87eCr0uIamIsM,284571.03,9006.97
setl_HUNH7T1CIgeqG9,pay_5UQSyPx3BpdbIK,28680.24,907.76
setl_HUNH7T1CIgeqG9,pay_Oy4CqpIqK3yn9F,28680.24,907.76
setl_W0M4M6HMHXp8yM,pay_HRtAN5VK0sjpNr,5548.39,175.61
setl_W0M4M6HMHXp8yM,pay_abMh0X9zuINamr,5548.39,175.61
setl_W0M4M6HMHXp8yM,pay_b9oyXNE7Y7bvuS,5548.39,175.61
setl_B5xt3fvqtOgMSQ,pay_CAYxnAaETSq5Jc,561488.3,17771.7
setl_B5xt3fvqtOgMSQ,pay_J8cKvWB9h3lcBG,561488.3,17771.7
setl_B5xt3fvqtOgMSQ,pay_nZmlX0059CIseg,561488.3,17771.7
setl_dQDwRxRveeQdZH,pay_37DHpk6Rg9b5ux,58709.77,1858.23
setl_dQDwRxRveeQdZH,pay_9M9BjcYmxU0gd6,58709.77,1858.23
setl_VYmtzRhFqxdEdK,pay_HyNZQeRT0dfACL,459124.23,14531.77
setl_OsiGJlsxx1WTIA,pay_1uXPzoyH73TO1R,56546.25,1789.75
setl_OsiGJlsxx1WTIA,pay_Zf4Y25zyxxfntg,56546.25,1789.75
setl_OsiGJlsxx1WTIA,pay_dFZ1Amm4WvPR8L,56546.25,1789.75
setl_EdWqaXtAwUv3JW,pay_8ohD6J7nUnvqQr,55229.91,1748.09
setl_EdWqaXtAwUv3JW,pay_FLSx0EilbVaqzU,55229.91,1748.09
setl_EdWqaXtAwUv3JW,pay_TP3fAbnFbmOHnK,55229.91,1748.09
setl_ttnWXbi1wX2W0l,pay_1iohieQWeWUcgX,18971.53,600.47
setl_zRdyuLodRPjlks,pay_XQ8DkPcNrAuXVc,96496.77,3054.23
setl_zRdyuLodRPjlks,pay_ZTvvWGvgSCecSb,96496.77,3054.23
setl_zRdyuLodRPjlks,pay_jbXtE9A4mqbWrI,96496.77,3054.23
setl_7XA2RDyVMygkRg,pay_YZ8fOcR9GLw4yW,281559.34,8911.66
setl_7XA2RDyVMygkRg,pay_fOc6lbglbNyEMK,281559.34,8911.66
setl_7XA2RDyVMygkRg,pay_kgjjm7bzQ5DATb,281559.34,8911.66
setl_x8F7HGydV8aDGy,pay_KoU3XJ9aSYehlc,69106.69,2187.31
setl_x8F7HGydV8aDGy,pay_Xi1H8Wfft5krwf,69106.69,2187.31
setl_x8F7HGydV8aDGy,pay_ZswsRhcds6NUga,69106.69,2187.31
setl_x8F7HGydV8aDGy,pay_nXxG7qEULuQvto,69106.69,2187.31
setl_S9h2kK6BWaXB9z,pay_DztgjzEPyVcfph,44802.94,1418.06
setl_S9h2kK6BWaXB9z,pay_rim2GNXX9WwHE4,44802.94,1418.06
setl_qkYeT5dGoVDovK,pay_67gSGlGpMlUzgN,5133.52,162.48
setl_qkYeT5dGoVDovK,pay_DE3i5CyiSN8mhQ,5133.52,162.48
setl_xUcI8NwqFthIUF,pay_LQKYuNdniKUYUO,7307.7,231.3
setl_xUcI8NwqFthIUF,pay_ZIKYoWWKr99HXg,7307.7,231.3
setl_xUcI8NwqFthIUF,pay_oOw6cjBwBeiwtr,7307.7,231.3
setl_2wU6cPAswOujm2,pay_4PpQSLxtBa1elN,476319.96,15076.04
setl_2wU6cPAswOujm2,pay_YGoeLBfBh84x3Q,476319.96,15076.04
setl_g6jSBVMT8QMYfB,pay_Y3wzHelT4NEZJD,21447.18,678.82
setl_g6jSBVMT8QMYfB,pay_qljbm1xGR8nAdA,21447.18,678.82
setl_VVpsNUEb1IxkeD,pay_NJgCKgr3fEwZyE,370055.36,11712.64
setl_VVpsNUEb1IxkeD,pay_t2YQliACNySiUa,370055.36,11712.64
setl_SOd0LxpcuNcLXo,pay_0Yg7NZRBT7qYHD,1593642.54,50440.46
setl_SOd0LxpcuNcLXo,pay_GlozIoDSBbszpP,1593642.54,50440.46
setl_SOd0LxpcuNcLXo,pay_ebhsmKVcbmk2Sv,1593642.54,50440.46
setl_SOd0LxpcuNcLXo,pay_g8n7WhG2KYfvJr,1593642.54,50440.46
setl_SOd0LxpcuNcLXo,pay_hfSxR8e42kAQFH,1593642.54,50440.46
setl_SFiMo02a11WTFS,pay_Gd50DF5kJThyL2,479432.72,14861.28
setl_SFiMo02a11WTFS,pay_RYw11oRytxxHPD,479432.72,14861.28
setl_SFiMo02a11WTFS,pay_TUv5XqsyofSPj1,479432.72,14861.28
setl_SFiMo02a11WTFS,pay_TUvAAV8PyckEVu,479432.72,14861.28
setl_SFiMo02a11WTFS,pay_TUvDkwEHdWlIlL,479432.72,14861.28
setl_SFiMo02a11WTFS,pay_TUvIIpzEisUOVb,479432.72,14861.28
setl_SFiMo02a11WTFS,pay_TUvTa327TMguwL,479432.72,14861.28
