record_id,source,true_match_id,expected_bucket,case
pay_1dOOdTXglHilC2,gateway,INV-2026-00119,auto_resolved,name_drift
pay_QGrIkEesCnZhEa,gateway,INV-2026-00120,escalated,fx_rounding
pay_0D1K6e3F1xsd0i,gateway,INV-2026-00121,auto_resolved,name_drift
pay_V2zWwCN1e3ucAq,gateway,,ignored,failed_payment
pay_FSq0sqhnHsN6ri,gateway,INV-2026-00122,auto_resolved,missing_pg_ref
pay_gSZfd3DBwGKGyq,gateway,INV-2026-00123,auto_resolved,name_drift
pay_CzH7mtqhjQZRcZ,gateway,INV-2026-00124,auto_resolved,name_drift
pay_wkWolGc97KYZUz,gateway,INV-2026-00125,auto_resolved,clean
pay_UJfAWjuDUHqyAR,gateway,INV-2026-00126,auto_resolved,name_drift
pay_fHtKE5vlbGxf8H,gateway,INV-2026-00127,auto_resolved,name_drift
pay_rwQuDBWEgOfrZ3,gateway,INV-2026-00128,auto_resolved,amount_rounding
pay_GNtvHXBwqsaY0v,gateway,INV-2026-00129,auto_resolved,clean
pay_98i54tI6ht2TV2,gateway,INV-2026-00130,auto_resolved,clean
pay_TfVc0PkwBM2fYl,gateway,INV-2026-00131,auto_resolved,clean
pay_ZmZ2TAYeQbScel,gateway,INV-2026-00132,auto_resolved,missing_pg_ref
pay_NMdZEHNJSsavJl,gateway,INV-2026-00133,auto_resolved,missing_pg_ref
pay_DHW7B4JZI3mSJi,gateway,,ignored,failed_payment
pay_HXw3HNfVOwOc8Q,gateway,INV-2026-00134,auto_resolved,timing_offset
pay_KXSQbD7WWJSKkM,gateway,,ignored,failed_payment
pay_OaN6tN28TQoETX,gateway,INV-2026-00135,auto_resolved,clean
pay_bn9nbFhSXxNVMK,gateway,INV-2026-00136,auto_resolved,missing_pg_ref
pay_OannOrMc2zVE9S,gateway,INV-2026-00137,auto_resolved,timing_offset
pay_xDALAj7DVAf4sH,gateway,INV-2026-00138,auto_resolved,timing_offset
pay_ynZQEkmNRral4M,gateway,INV-2026-00139,auto_resolved,clean
pay_rLt8BIs1le0DQl,gateway,INV-2026-00140,escalated,duplicate_ref
pay_ENKzc5xJmBp4SF,gateway,INV-2026-00141,escalated,fx_rounding
pay_PU6zUjzgEz6cwB,gateway,INV-2026-00142,auto_resolved,amount_rounding
pay_3YV0eDh1uznmdJ,gateway,INV-2026-00143,auto_resolved,timing_offset
pay_L0brHeLUtINcq8,gateway,INV-2026-00144,auto_resolved,clean
pay_NpUGWiA437GQ6B,gateway,INV-2026-00145,auto_resolved,timing_offset
pay_IxlKxVspeqxWjy,gateway,,ignored,failed_payment
pay_Mo8FYM23YbIrj3,gateway,,ignored,failed_payment
pay_uFWBeMC71N5ALz,gateway,INV-2026-00146,auto_resolved,timing_offset
pay_YKVMxA9zdpotfQ,gateway,INV-2026-00147,escalated,partial_capture
pay_9qYle8myOgHAMg,gateway,INV-2026-00148,auto_resolved,timing_offset
pay_aXKyp8KQQjVpEQ,gateway,INV-2026-00149,auto_resolved,amount_rounding
pay_ED8LNi65xIHEHo,gateway,INV-2026-00150,auto_resolved,clean
pay_qgv3je68u93RAO,gateway,,ignored,failed_payment
pay_LFdPySAxavtBIn,gateway,INV-2026-00151,escalated,fx_rounding
pay_7BpWqEok2OoOlF,gateway,INV-2026-00152,escalated,fx_rounding
pay_INuhR694fPFbt6,gateway,INV-2026-00153,auto_resolved,name_drift
pay_kxcmfFX4jvD2tu,gateway,,ignored,failed_payment
pay_C7dDyQE4efLerN,gateway,,ignored,failed_payment
pay_qzycRJlTnHW4PF,gateway,INV-2026-00154,auto_resolved,timing_offset
pay_hbuXMZ5f0pKGyt,gateway,INV-2026-00155,auto_resolved,clean
pay_qOt34Pa4cbX0GT,gateway,,ignored,failed_payment
pay_LHpaUaGGxmXzgA,gateway,INV-2026-00156,auto_resolved,timing_offset
pay_hgmmqGmRscEm5u,gateway,INV-2026-00157,auto_resolved,amount_rounding
pay_UYdg2luCq1GNLL,gateway,INV-2026-00158,auto_resolved,name_drift
pay_AxvpCPZygFP0xO,gateway,INV-2026-00159,auto_resolved,clean
pay_BSou3ejxjnzuCd,gateway,,ignored,failed_payment
pay_nFvgQKGtn9dm6V,gateway,INV-2026-00160,auto_resolved,clean
pay_Xe7CpRsZe9Obzx,gateway,INV-2026-00161,escalated,partial_capture
pay_OVzNEMr7DXQsed,gateway,INV-2026-00162,escalated,fx_rounding
pay_x4yfpARHeT9Rlx,gateway,INV-2026-00163,auto_resolved,missing_pg_ref
pay_2ccsqQXxR5Khtj,gateway,INV-2026-00164,escalated,fx_rounding
pay_oVT9gdxMvcOhsT,gateway,,ignored,failed_payment
pay_YUJcvd95e5bzVV,gateway,,ignored,failed_payment
pay_fPOdMTUAffneKG,gateway,INV-2026-00165,auto_resolved,timing_offset
pay_73Y5Slj9C2EfyC,gateway,INV-2026-00166,auto_resolved,name_drift
pay_cJjNcJdql7LIbS,gateway,INV-2026-00167,auto_resolved,clean
pay_nnUhRiTRAdgKDK,gateway,INV-2026-00168,auto_resolved,clean
pay_FeYVGS7kUaS550,gateway,INV-2026-00169,auto_resolved,timing_offset
pay_InV5p7ByT8KG9s,gateway,INV-2026-00170,auto_resolved,timing_offset
pay_87cERLa9NgrFkm,gateway,,ignored,failed_payment
pay_Dxw3Hq9OBiUa2R,gateway,INV-2026-00171,auto_resolved,amount_rounding
pay_Wx4sKAJd7gVMqf,gateway,INV-2026-00172,auto_resolved,timing_offset
pay_3NjMS6XMmej2Gp,gateway,INV-2026-00173,auto_resolved,amount_rounding
pay_X87eCr0uIamIsM,gateway,INV-2026-00174,auto_resolved,timing_offset
pay_SpcMdK3nLh7fLx,gateway,INV-2026-00175,auto_resolved,timing_offset
pay_3q6Q4EmT2mmpMj,gateway,INV-2026-00176,escalated,fx_rounding
pay_CX3IxLGgrL21e3,gateway,INV-2026-00177,escalated,fx_rounding
pay_Oy4CqpIqK3yn9F,gateway,INV-2026-00178,auto_resolved,clean
pay_5UQSyPx3BpdbIK,gateway,INV-2026-00179,auto_resolved,timing_offset
pay_j7jXkE90GSWsIJ,gateway,,ignored,failed_payment
pay_abMh0X9zuINamr,gateway,INV-2026-00180,auto_resolved,timing_offset
pay_b9oyXNE7Y7bvuS,gateway,INV-2026-00181,auto_resolved,timing_offset
pay_HRtAN5VK0sjpNr,gateway,INV-2026-00182,auto_resolved,name_drift
pay_nZmlX0059CIseg,gateway,INV-2026-00183,auto_resolved,name_drift
pay_zeVP3bQQyK6Zjf,gateway,INV-2026-00184,escalated,fx_rounding
pay_CAYxnAaETSq5Jc,gateway,INV-2026-00185,auto_resolved,amount_rounding
pay_6hFuAjSphysKkU,gateway,INV-2026-00186,escalated,fx_rounding
pay_3TC4lJy6o1qMs4,gateway,,ignored,failed_payment
pay_J8cKvWB9h3lcBG,gateway,INV-2026-00187,auto_resolved,name_drift
pay_FRmDrgKwrxXCYj,gateway,INV-2026-00188,escalated,fx_rounding
pay_9M9BjcYmxU0gd6,gateway,INV-2026-00189,auto_resolved,name_drift
pay_37DHpk6Rg9b5ux,gateway,INV-2026-00190,auto_resolved,name_drift
pay_HyNZQeRT0dfACL,gateway,INV-2026-00191,auto_resolved,name_drift
pay_1uXPzoyH73TO1R,gateway,INV-2026-00192,auto_resolved,name_drift
pay_Zf4Y25zyxxfntg,gateway,INV-2026-00193,auto_resolved,clean
pay_dFZ1Amm4WvPR8L,gateway,INV-2026-00194,auto_resolved,clean
pay_TP3fAbnFbmOHnK,gateway,INV-2026-00195,auto_resolved,name_drift
pay_8ohD6J7nUnvqQr,gateway,INV-2026-00196,auto_resolved,name_drift
pay_FLSx0EilbVaqzU,gateway,INV-2026-00197,auto_resolved,name_drift
pay_CFyFP0YMkFBl6O,gateway,INV-2026-00198,auto_resolved,timing_offset
pay_cHYkWCRNYdWCsc,gateway,,ignored,failed_payment
pay_myQ6fK4e9mOYf0,gateway,,ignored,failed_payment
pay_MNz7xcmxatZlPM,gateway,INV-2026-00199,auto_resolved,timing_offset
pay_1iohieQWeWUcgX,gateway,INV-2026-00200,auto_resolved,amount_rounding
pay_ZTvvWGvgSCecSb,gateway,INV-2026-00201,escalated,duplicate_ref
pay_rcjDNtbLx6wADd,gateway,INV-2026-00202,auto_resolved,missing_pg_ref
pay_jbXtE9A4mqbWrI,gateway,INV-2026-00203,auto_resolved,amount_rounding
pay_XQ8DkPcNrAuXVc,gateway,INV-2026-00204,auto_resolved,timing_offset
pay_fOc6lbglbNyEMK,gateway,INV-2026-00205,auto_resolved,timing_offset
pay_7XhvaQdZALaDrf,gateway,,ignored,failed_payment
pay_kgjjm7bzQ5DATb,gateway,INV-2026-00206,auto_resolved,amount_rounding
pay_bG4QZLl3L2GUfO,gateway,INV-2026-00207,auto_resolved,clean
pay_YZ8fOcR9GLw4yW,gateway,INV-2026-00208,auto_resolved,name_drift
pay_v6WCulgKeWmJNp,gateway,,ignored,failed_payment
pay_ZswsRhcds6NUga,gateway,INV-2026-00209,auto_resolved,clean
pay_Xi1H8Wfft5krwf,gateway,INV-2026-00210,escalated,partial_capture
pay_nXxG7qEULuQvto,gateway,INV-2026-00211,auto_resolved,timing_offset
pay_KoU3XJ9aSYehlc,gateway,INV-2026-00212,auto_resolved,amount_rounding
pay_DztgjzEPyVcfph,gateway,INV-2026-00213,auto_resolved,timing_offset
pay_aNqkCJ4mZrEZsK,gateway,INV-2026-00214,escalated,fx_rounding
pay_rim2GNXX9WwHE4,gateway,INV-2026-00215,auto_resolved,clean
pay_8FwHA6as6GWOBJ,gateway,INV-2026-00216,auto_resolved,name_drift
pay_QFq2QMNTpYa0sj,gateway,,ignored,failed_payment
pay_67gSGlGpMlUzgN,gateway,INV-2026-00217,auto_resolved,timing_offset
pay_DE3i5CyiSN8mhQ,gateway,INV-2026-00218,auto_resolved,clean
pay_LQKYuNdniKUYUO,gateway,INV-2026-00219,auto_resolved,clean
pay_ZIKYoWWKr99HXg,gateway,INV-2026-00220,auto_resolved,timing_offset
pay_2jrHoGLtMH3K69,gateway,INV-2026-00221,escalated,fx_rounding
pay_oOw6cjBwBeiwtr,gateway,INV-2026-00222,auto_resolved,missing_pg_ref
pay_kjOIC1iWO5e0D7,gateway,INV-2026-00223,escalated,fx_rounding
pay_qyHl3pxa8Sx8p9,gateway,,ignored,failed_payment
pay_YGoeLBfBh84x3Q,gateway,INV-2026-00224,auto_resolved,timing_offset
pay_4PpQSLxtBa1elN,gateway,INV-2026-00225,auto_resolved,missing_pg_ref
pay_nxOHObV64UuZqU,gateway,INV-2026-00226,escalated,fx_rounding
pay_pdmRqC6eOP4wgs,gateway,INV-2026-00227,escalated,fx_rounding
pay_qljbm1xGR8nAdA,gateway,INV-2026-00228,escalated,partial_capture
pay_WFRMPwO8fryPzm,gateway,INV-2026-00229,escalated,fx_rounding
pay_Y3wzHelT4NEZJD,gateway,INV-2026-00230,auto_resolved,clean
pay_KxK0rjC2fS2YOV,gateway,,ignored,failed_payment
pay_NJgCKgr3fEwZyE,gateway,INV-2026-00231,escalated,duplicate_ref
pay_t2YQliACNySiUa,gateway,INV-2026-00232,escalated,partial_capture
pay_2fa5RKrQXDhiqB,gateway,,ignored,failed_payment
pay_0Yg7NZRBT7qYHD,gateway,INV-2026-00233,auto_resolved,timing_offset
pay_hfSxR8e42kAQFH,gateway,INV-2026-00234,auto_resolved,name_drift
pay_GlozIoDSBbszpP,gateway,INV-2026-00235,auto_resolved,clean
pay_ebhsmKVcbmk2Sv,gateway,INV-2026-00236,auto_resolved,clean
pay_g8n7WhG2KYfvJr,gateway,INV-2026-00237,auto_resolved,name_drift
pay_Gd50DF5kJThyL2,gateway,INV-2026-00238,auto_resolved,clean
pay_RYw11oRytxxHPD,gateway,INV-2026-00239,auto_resolved,name_drift
pay_d5qpQ90n0rkHef,gateway,INV-2026-00240,escalated,fx_rounding
pay_TUv5XqsyofSPj1,gateway,INV-2026-00241,escalated,partial_capture
pay_TUvAAV8PyckEVu,gateway,INV-2026-00242,auto_resolved,name_drift
pay_TUvDkwEHdWlIlL,gateway,INV-2026-00243,auto_resolved,clean
pay_TUvHTkz0zsaR2y,gateway,,ignored,failed_payment
pay_TUvIIpzEisUOVb,gateway,INV-2026-00244,auto_resolved,missing_pg_ref
pay_TUvNivrfVQar68,gateway,,ignored,failed_payment
pay_TUvSHHci4c7cid,gateway,,ignored,failed_payment
pay_TUvTa327TMguwL,gateway,INV-2026-00245,auto_resolved,timing_offset
pay_XDxafsxXr4oI5O,gateway,,escalated,duplicate_ref
pay_NfFcDAU1Nmt1KZ,gateway,,escalated,duplicate_ref
pay_WcmVbZzlwY67KB,gateway,,escalated,duplicate_ref
pay_ebQB8PAfaO4sff,gateway,,escalated,duplicate_ref
pay_09nrYHgM5KVDGa,gateway,,escalated,duplicate_ref
pay_VVAHsiHJMjLWGH,gateway,,escalated,duplicate_ref
pay_MALFORMED0001,gateway,,failed,malformed_row
INV-2026-00001,invoice,pay_0S2YZRFvLYTCbd,auto_resolved,timing_offset
INV-2026-00002,invoice,pay_518Y2bTu5X1YqW,auto_resolved,name_drift
INV-2026-00003,invoice,pay_BpDmH5RiMKpPGN,auto_resolved,amount_rounding
INV-2026-00004,invoice,pay_S8RpLRl9XFrA62,auto_resolved,clean
INV-2026-00005,invoice,pay_neuDE3RYfNcYxW,auto_resolved,name_drift
INV-2026-00006,invoice,pay_5zZ5cZWlU2rcsL,auto_resolved,name_drift
INV-2026-00007,invoice,pay_HOl0amiYY5sIJ0,escalated,fx_rounding
INV-2026-00008,invoice,pay_uWzUZsStHmQX3v,auto_resolved,timing_offset
INV-2026-00009,invoice,pay_CqDGvhIvnyAuBw,auto_resolved,name_drift
INV-2026-00010,invoice,pay_qRFd3RMrmi8oTn,auto_resolved,clean
INV-2026-00011,invoice,pay_EnOCBLa2rMYmld,auto_resolved,name_drift
INV-2026-00012,invoice,pay_iOnsd624MAE86P,auto_resolved,amount_rounding
INV-2026-00013,invoice,pay_ArXxtG7gGv0LOq,auto_resolved,amount_rounding
INV-2026-00014,invoice,pay_osUVtTLfB4zEGx,auto_resolved,clean
INV-2026-00015,invoice,pay_PPy0IfyqhwUqxN,auto_resolved,clean
INV-2026-00016,invoice,pay_6A9qQCwV2nrABa,auto_resolved,amount_rounding
INV-2026-00017,invoice,pay_xHZdxLceXKPnm4,auto_resolved,timing_offset
INV-2026-00018,invoice,pay_483BS4ez5FbLRh,auto_resolved,timing_offset
INV-2026-00019,invoice,pay_HVhssnTJns5NZc,escalated,fx_rounding
INV-2026-00020,invoice,pay_idXKZ5BDsyqHBL,auto_resolved,amount_rounding
INV-2026-00021,invoice,pay_wTrpaO16KSQ6pM,escalated,fx_rounding
INV-2026-00022,invoice,pay_9HUVBnATOp2bq1,auto_resolved,name_drift
INV-2026-00023,invoice,pay_XCkKYgEXnXAY8Q,auto_resolved,clean
INV-2026-00024,invoice,pay_kujdQMhZgsFZi4,auto_resolved,timing_offset
INV-2026-00025,invoice,pay_Qxy435LkB2XiVp,escalated,fx_rounding
INV-2026-00026,invoice,pay_VvMwBE0W0Hrc9y,escalated,partial_capture
INV-2026-00027,invoice,pay_8D04wzInjq5Jzj,auto_resolved,timing_offset
INV-2026-00028,invoice,pay_RknyuIRRj7afj5,auto_resolved,timing_offset
INV-2026-00029,invoice,pay_AzjKV65IgrHvzx,auto_resolved,missing_pg_ref
INV-2026-00030,invoice,pay_gGweRPKuu8TBNE,auto_resolved,amount_rounding
INV-2026-00031,invoice,pay_YTo3k3UAdLh0eV,escalated,fx_rounding
INV-2026-00032,invoice,pay_0jr7MjHlkR4Xjh,auto_resolved,amount_rounding
INV-2026-00033,invoice,pay_7A4dhjkuRv630p,auto_resolved,timing_offset
INV-2026-00034,invoice,pay_AUMspFhHJsUyya,auto_resolved,clean
INV-2026-00035,invoice,pay_XMRqOGqleigCCR,auto_resolved,name_drift
INV-2026-00036,invoice,pay_6I5NBldlDkCh3E,auto_resolved,timing_offset
