pg_payment_id,pg_order_id,captured_at,amount,currency,method,status,customer_name,fee,tax
pay_EnOCBLa2rMYmld,order_vjcJLufg9krORJ,2026-06-03T04:19:03+00:00,4484400,INR,netbanking,captured,Vivaan Jain Pvt Ltd,116594,20987
pay_Z8i5hzcqtRQVJJ,order_8PuGRfPpvPx0I9,2026-06-03T10:43:54+00:00,4985700,INR,card,failed,Ananya Das LLP,,
pay_RtSUBYv4Yne8qP,order_AbyaOCzOUTsYMQ,2026-06-03T18:10:35+00:00,390900,INR,wallet,failed,Dev Sharma Solutions,,
pay_iOnsd624MAE86P,order_WtzjxUD0sRX4I8,2026-06-03T19:20:04+00:00,297200,INR,netbanking,captured,Arjun Singh LLP,7727,1391
pay_ArXxtG7gGv0LOq,order_qXpKCPoPVGQ9ta,2026-06-04T09:16:13+00:00,484500,INR,card,captured,Reyansh Reddy Pvt Ltd,12597,2267
pay_osUVtTLfB4zEGx,order_dXeRzWGJk2mdcd,2026-06-04T12:28:50+00:00,1143600,INR,card,captured,Dev Patel LLP,29734,5352
pay_PPy0IfyqhwUqxN,order_xPDM6uLONCROhc,2026-06-05T08:53:29+00:00,234800,INR,card,captured,Rohan Gupta Solutions,6105,1099
pay_mcpRiPCCfOSBDr,order_kZLkhTkPaqBlS3,2026-06-05T19:04:06+00:00,377100,INR,netbanking,failed,Rohan Mehta Industries,,
pay_6A9qQCwV2nrABa,order_mfJbT8AepktMfD,2026-06-05T23:31:36+00:00,92400,INR,upi,captured,Ananya Das Technologies,2402,432
pay_xHZdxLceXKPnm4,order_s4nlTUU4RRyotr,2026-06-06T15:12:02+00:00,3447700,INR,netbanking,captured,Aarav Rao LLP,89640,16135
pay_483BS4ez5FbLRh,order_cJXRTyQ18kUxWy,2026-06-06T17:38:11+00:00,49744700,INR,card,captured,Aadhya Chauhan Industries,1293362,232805
pay_TYeoxQWhH9usd9,order_Ow0v0VrmI7Osyg,2026-06-06T22:23:14+00:00,380800,INR,upi,failed,Sara Rao Solutions,,
pay_TXd4PpxNR3QHoB,order_a754s6Us1jBtYN,2026-06-07T04:23:25+00:00,78500,INR,upi,failed,Diya Mehta Pvt Ltd,,
pay_HVhssnTJns5NZc,order_CMEwMuva3lvgEf,2026-06-08T03:06:05+00:00,205600,USD,netbanking,captured,Rohan Reddy Pvt Ltd,5346,962
pay_Auyf8D6axBquKJ,order_qwoPCjQ53VQN6w,2026-06-08T14:08:18+00:00,382100,INR,card,failed,Reyansh Mehta Industries,,
pay_idXKZ5BDsyqHBL,order_3TLboP1KbVYJVk,2026-06-08T14:58:27+00:00,267600,INR,netbanking,captured,Ananya Singh Pvt Ltd,6958,1252
pay_wTrpaO16KSQ6pM,order_LmBumN1yBTAjDE,2026-06-08T21:15:51+00:00,9500,USD,netbanking,captured,Reyansh Iyer Enterprises,247,44
pay_9HUVBnATOp2bq1,order_f1hYnTQ1LAMWYX,2026-06-08T22:46:35+00:00,494900,INR,netbanking,captured,Aadhya Bose LLP,12867,2316
pay_XCkKYgEXnXAY8Q,order_u8JiZXVKuhizRI,2026-06-09T04:42:12+00:00,123843,INR,netbanking,captured,Reyansh Das Enterprises,7844,1412
pay_kujdQMhZgsFZi4,order_bAjOo2x2Zgkgg7,2026-06-09T16:59:36+00:00,3411900,INR,card,captured,Sara Nair LLP,88709,15968
pay_Qxy435LkB2XiVp,order_zmss5ClWZfGRFQ,2026-06-10T01:44:42+00:00,204700,EUR,card,refunded,Arjun Nair Technologies,5322,958
pay_VvMwBE0W0Hrc9y,order_oUf0fueXDnXOsX,2026-06-10T02:19:55+00:00,461800,INR,netbanking,captured,Rohan Mehta Industries,12007,2161
pay_8D04wzInjq5Jzj,order_uxZEOQpY7NEkXk,2026-06-10T22:27:58+00:00,130700,INR,upi,captured,Kabir Nair Enterprises,3398,612
pay_rfwyxZJbbILofC,order_q0dMLj7kJaGV5Z,2026-06-11T06:07:39+00:00,318300,INR,netbanking,failed,Aadhya Nair Industries,,
pay_oXnlpUVQigMcWc,order_wi4uzmW2wFqk46,2026-06-11T07:41:07+00:00,45671100,INR,wallet,failed,Vihaan Iyer Enterprises,,
pay_RknyuIRRj7afj5,order_Adnecx9MGSL6YN,2026-06-12T20:23:15+00:00,3426800,INR,netbanking,captured,Ishani Patel Pvt Ltd,89097,16037
pay_AzjKV65IgrHvzx,order_ELcriLRc3uoU53,2026-06-12T23:42:17+00:00,478000,INR,card,refunded,Aadhya Iyer LLP,12428,2237
pay_gGweRPKuu8TBNE,order_tRI3MwPYxTslaR,2026-06-13T16:45:34+00:00,1428300,INR,netbanking,captured,Vihaan Singh Solutions,37136,6684
pay_YTo3k3UAdLh0eV,order_L05tRx9JmpBrmk,2026-06-13T22:52:19+00:00,190600,USD,upi,captured,Aarav Gupta Industries,4956,892
pay_0jr7MjHlkR4Xjh,order_9JBwmRP8jB8Hhb,2026-06-14T03:31:03+00:00,286000,INR,wallet,captured,Rohan Nair Technologies,7436,1338
pay_7A4dhjkuRv630p,order_NIhsHFk6jOSL0I,2026-06-14T08:06:12+00:00,199000,INR,upi,captured,Kabir Jain Technologies,5174,931
pay_AUMspFhHJsUyya,order_Y2CddZOugsDudT,2026-06-14T10:27:41+00:00,71600,INR,upi,refunded,Dev Kapoor Industries,1862,335
pay_XMRqOGqleigCCR,order_Etj8b8rhBafanA,2026-06-14T15:39:39+00:00,3885600,INR,upi,captured,Kiara Gupta Enterprises,101026,18185
pay_6I5NBldlDkCh3E,order_B9ICgSjvmrZUYI,2026-06-14T17:40:18+00:00,452400,INR,upi,refunded,Ishani Nair Pvt Ltd,11762,2117
pay_H2MGlEOZ6qNY04,order_5TdmCoUV0z14N0,2026-06-14T18:12:54+00:00,3849370,INR,card,captured,Myra Singh LLP,127429,22937
pay_yeTr5RHguX1d5s,order_OJBD3nXmOw1gW1,2026-06-15T07:33:44+00:00,2782600,INR,card,captured,Vivaan Bose Enterprises,72348,13023
pay_WNyDLzErVgpEMi,order_gdeQ8xQjMfeUVX,2026-06-15T10:51:03+00:00,273600,INR,card,captured,Anika Singh Industries,7114,1281
pay_IJQ2N9u8tBDNXK,order_veCcwrN8fKxJ7T,2026-06-15T15:10:41+00:00,381000,USD,card,captured,Kiara Gupta LLP,9906,1783
pay_Eo8dnNzoCXB1Bh,order_EOgzIafLMsFmP6,2026-06-15T22:12:20+00:00,8925000,INR,card,refunded,Ishani Jain Technologies,232050,41769
pay_kjyA6CSpJso5qf,order_x6UydyY8LeQDOz,2026-06-15T22:53:52+00:00,4459500,INR,card,captured,Reyansh Gupta Enterprises,115947,20870
pay_ekgd2IbyVfqjO2,order_tprMiZbP1uD8Hq,2026-06-16T02:08:39+00:00,41736600,INR,netbanking,captured,Kabir Jain Enterprises,1085152,195327
pay_3MsHarAJOCBnD3,order_XkfFNuYUPnmbpD,2026-06-16T05:53:04+00:00,40510900,INR,upi,captured,Anika Kapoor Pvt Ltd,1053283,189591
pay_Ei1L9rPzzjrqM4,order_wQCaiuQQSRTpfd,2026-06-16T09:49:34+00:00,2387100,INR,card,refunded,Anika Gupta Solutions,62065,11172
pay_8AHkxv78JaYb3F,order_1ROCzvHGVhkAkK,2026-06-16T11:32:23+00:00,229000,INR,netbanking,refunded,Vivaan Gupta Technologies,5954,1072
pay_e71imARDL6KFQr,order_aidyYG42CJTr2C,2026-06-16T17:30:58+00:00,3634200,INR,upi,captured,Sara Kapoor Enterprises,94489,17008
pay_LeI6qccFOAs08b,order_dVYH1QTIdVRAAi,2026-06-17T02:29:43+00:00,491000,USD,netbanking,refunded,Reyansh Sharma Solutions,12766,2298
pay_2pAn5643zc9TFA,order_yYRgEfUQznwo9a,2026-06-17T09:44:36+00:00,400700,INR,upi,failed,Kiara Singh Technologies,,
pay_FxAIiKpuSjjud5,order_MPEJwWtnleFzHf,2026-06-17T12:18:18+00:00,192300,INR,card,refunded,Myra Singh Technologies,5000,900
pay_REJpxYyhIKHQI7,order_CRBsQYXzENpOSW,2026-06-17T12:46:59+00:00,20280200,INR,card,refunded,Anika Sharma Enterprises,527285,94911
pay_8NR0Xy8ZEurHi0,order_W3VcMZb5jC9A94,2026-06-17T21:58:10+00:00,1110400,INR,upi,refunded,Anika Chauhan Industries,28870,5197
pay_2qFl41sNLjVHWG,order_aub52Ztd26fEeV,2026-06-18T18:34:04+00:00,52600,INR,upi,captured,Rohan Mehta LLP,1368,246
pay_E2AUYMLAJxNdkc,order_FKsZN7vbluXweO,2026-06-18T18:38:30+00:00,218600,INR,card,failed,Anika Nair Solutions,,
pay_U4arG5RBmHWOR3,order_WzmscuSTh9rfIG,2026-06-18T19:49:43+00:00,2494400,INR,upi,captured,Ishani Nair Enterprises,64854,11674
pay_BzPoBrUBHtYDZw,order_69CrxG7YXipN2I,2026-06-18T20:41:10+00:00,1584800,INR,card,captured,Myra Iyer Technologies,41205,7417
pay_TfRNfRT8LjIcku,order_21kiVdtT7rl37a,2026-06-19T03:13:48+00:00,1574700,INR,upi,captured,Arjun Chauhan Industries,40942,7370
pay_8MEFd1kjV3PhTa,order_1acw5l7cXSOnp4,2026-06-19T17:19:51+00:00,1583138,INR,card,captured,Rohan Sharma LLP,57803,10405
pay_jIIf94ChZESFqZ,order_8pIx5F21rWz5FY,2026-06-19T23:15:02+00:00,197000,EUR,card,captured,Anika Nair Solutions,5122,922
pay_UcpMsyw8IJqF52,order_itGihch2ZU5r2M,2026-06-19T23:45:21+00:00,491000,USD,upi,refunded,Aarav Patel Industries,12766,2298
pay_BsRllvTrZ4Iejs,order_qwaNxlb1WoSOHy,2026-06-20T06:36:23+00:00,30443800,INR,netbanking,captured,Kiara Reddy Technologies,791539,142477
pay_d6X7U8WL1gIFkh,order_mwTRVE1jwYhm8V,2026-06-20T07:07:18+00:00,1182500,INR,card,refunded,Arjun Bose Enterprises,30745,5534
pay_M519XgOMzEU5gB,order_KcrAnCxmDh74zY,2026-06-20T17:10:12+00:00,282000,INR,upi,captured,Ishani Rao Pvt Ltd,7332,1320
pay_IDHPnpU2fBReId,order_HFJjuGhmKfFYCF,2026-06-20T17:31:26+00:00,3225200,INR,netbanking,failed,Ishani Singh Solutions,,
pay_79ISjs8JHUdKF0,order_j7elKPoh3pKMzK,2026-06-21T05:59:18+00:00,396500,INR,netbanking,failed,Myra Iyer Industries,,
pay_81mOOBMWlsCDbk,order_jR7D1KmJZdaNS8,2026-06-21T07:17:28+00:00,63000,INR,upi,captured,Kiara Sharma Industries,1638,295
pay_e8danYlgmKG1Vt,order_CjF4nw81FWlrkt,2026-06-21T09:46:42+00:00,1849300,INR,upi,captured,Vivaan Chauhan Enterprises,48082,8655
pay_45kkrl0M17EmxI,order_OzESBkJXncnrWJ,2026-06-21T13:20:55+00:00,490200,INR,upi,captured,Dev Kapoor Enterprises,12745,2294
pay_E5GXTeLYHteOtL,order_AQvc1v9r86eNwX,2026-06-21T16:31:40+00:00,15816562,INR,upi,captured,Aadhya Nair Enterprises,806398,145152
pay_vP8O7FRthvDJPz,order_U0r0YGbjPmUjrp,2026-06-22T05:14:38+00:00,2404300,INR,upi,captured,Myra Mehta Enterprises,62512,11252
pay_I1uTwWGxOnx3iU,order_hK4OlR5eHvS9mS,2026-06-22T13:44:55+00:00,61100,INR,card,captured,Anika Bose Enterprises,1589,286
pay_bxKl1Kvk3UQrxk,order_J71OQqzbWVa4OL,2026-06-22T17:54:47+00:00,151400,INR,card,captured,Dev Reddy Pvt Ltd,3936,708
pay_CLjPXRLt9h9RDZ,order_ERx8uZnTYRd1lE,2026-06-22T20:41:38+00:00,3775700,INR,card,refunded,Vihaan Sharma Pvt Ltd,98168,17670
pay_41odbJIqO3hMOB,order_BkTDBFKQ50SD2S,2026-06-22T23:45:12+00:00,4507400,INR,card,captured,Arjun Bose Pvt Ltd,117192,21095
pay_nQjENGsB4Djh30,order_GscecgAfOJppfF,2026-06-23T04:56:41+00:00,3537700,INR,card,captured,Arjun Das Industries,91980,16556
pay_SAxoCjl2VbOM63,order_oeKBP2pcBHUWi9,2026-06-23T11:47:45+00:00,29274700,INR,card,failed,Diya Jain Pvt Ltd,,
pay_OC56aMIgHFivep,order_rBHs8YGPI5g2q3,2026-06-23T16:00:46+00:00,157200,INR,upi,captured,Kiara Mehta Pvt Ltd,4087,736
pay_QzkChMbyIbNiCd,order_xnuVxUZpfbH9vO,2026-06-23T22:34:33+00:00,325300,INR,upi,captured,Rohan Das Solutions,8458,1522
pay_veH30S5NXFhmiX,order_bIwXILft9SGVZe,2026-06-24T00:59:05+00:00,262800,USD,wallet,failed,Aarav Das Enterprises,,
pay_p7QDffAUxid7IP,order_z26A4drtgFjD0v,2026-06-24T07:21:02+00:00,306000,INR,netbanking,failed,Aarav Patel Enterprises,,
pay_Z65p2ohYuKyUoA,order_ik8BpKEx6tAQ72,2026-06-24T09:25:34+00:00,32365600,INR,wallet,failed,Ishani Iyer Industries,,
pay_NI1YnhffT6Uhw0,order_7JadH08twQXGLn,2026-06-25T09:25:16+00:00,313600,USD,card,failed,Aadhya Chauhan Solutions,,
pay_euPH7M3EHMoQro,order_f8VRgksbudwApz,2026-06-25T18:56:07+00:00,375600,INR,upi,refunded,Anika Singh Technologies,9766,1758
pay_5LaakIREyf2OH3,order_YBh8xLx0Y8hwla,2026-06-26T02:50:32+00:00,159500,INR,upi,refunded,Myra Chauhan Solutions,4147,746
pay_J6iUo8k2fRN2Bq,order_pepgaxT82ExHgD,2026-06-26T18:40:45+00:00,16581200,INR,upi,refunded,Vihaan Sharma Pvt Ltd,431111,77600
pay_3tlrtBhjqaMFmv,order_tiRrpeMvBiDPgd,2026-06-26T20:32:02+00:00,305700,INR,netbanking,captured,Arjun Patel Enterprises,7948,1431
pay_X4Jyx6dxDu7Nsk,order_PlZLbm4xmsGCwa,2026-06-27T17:31:56+00:00,466400,USD,card,refunded,Vivaan Nair LLP,12126,2183
pay_mQfDkjEX6EoI9w,order_qPk1FYuhoIE9WV,2026-06-28T12:10:00+00:00,1561800,INR,upi,failed,Myra Das Solutions,,
pay_jhPInRVkLUhY7g,order_btP7ySeQMgV0Lh,2026-06-28T13:20:50+00:00,17600,USD,wallet,captured,Arjun Kapoor Industries,458,82
pay_wumVYe5VJfXRgt,order_NVD6i3pwl4u1uE,2026-06-29T01:02:44+00:00,3421800,INR,card,captured,Diya Nair Technologies,88967,16014
pay_1T1UIoWXrP5y78,order_tIapMW1Z4ROUHL,2026-06-29T01:31:36+00:00,1171600,INR,upi,captured,Vihaan Singh Enterprises,30462,5483
pay_PILOQbqV5vliOe,order_T8fGxCjtu6K2jU,2026-06-29T07:26:06+00:00,4574500,INR,card,failed,Vivaan Mehta Enterprises,,
pay_fVByODHiyXH7iP,order_4XTx6IIhaKH6sU,2026-06-29T23:45:48+00:00,247800,USD,wallet,captured,Dev Nair LLP,6443,1160
pay_jAulA3QMr2qEwq,order_4XW18WjjBX8YhA,2026-06-30T04:33:44+00:00,85500,INR,upi,refunded,Aarav Patel LLP,2223,400
pay_JFzSgIesCKopjD,order_emRA8JvRkPTSZh,2026-06-30T04:42:59+00:00,335500,INR,netbanking,failed,Anika Chauhan Enterprises,,
pay_xyl71f0kWrUOhE,order_AXtQiPZFE2DIAU,2026-06-30T09:43:24+00:00,4085800,INR,upi,failed,Kiara Kapoor Pvt Ltd,,
pay_0gwrGhsxsbiWA6,order_srlTaHecDtCuxZ,2026-06-30T11:20:03+00:00,147200,INR,upi,refunded,Kiara Singh Solutions,3827,689
pay_y5Kcnm1ys3J6xI,order_ifBvKCMACzXtxl,2026-07-02T10:54:04+00:00,269800,INR,card,captured,Arjun Patel Industries,7015,1263
pay_DBpQ8YxTbqKjCQ,order_wdwN7dsNemMVLk,2026-07-02T11:10:59+00:00,297300,USD,card,captured,Diya Singh LLP,7730,1391
pay_viirWz5knFZXIQ,order_70SRXz4hibvQiB,2026-07-02T13:33:28+00:00,487700,INR,wallet,captured,Diya Rao Technologies,12680,2282
pay_HkOwOZGx4Gv1ED,order_LFikeNnlwShoYS,2026-07-02T16:51:19+00:00,2225600,INR,netbanking,captured,Vihaan Gupta Industries,57866,10416
pay_T8wUm7N72Q3B7G,order_qQ3yz9tcGvLAC8,2026-07-02T19:17:44+00:00,165738,INR,upi,captured,Reyansh Das Enterprises,6503,1171
pay_leOV911xCZkwPR,order_QeNHpCq5QnuVdY,2026-07-02T19:50:11+00:00,2870000,INR,upi,failed,Arjun Chauhan Enterprises,,
pay_0Xv00kKXR4bR6I,order_Il92EtEfonGa4m,2026-07-02T23:42:16+00:00,229700,INR,card,refunded,Aadhya Das LLP,5972,1075
pay_q19Qf7W491h1pS,order_ZVPEJqzCN2fFr6,2026-07-03T06:35:37+00:00,2396100,INR,card,captured,Anika Rao Pvt Ltd,62299,11214
pay_2De3SF3XQMhUk9,order_8YhA9A9MZp44ey,2026-07-03T06:38:36+00:00,21154560,INR,card,captured,Sara Chauhan Solutions,777254,139906
pay_GQkqqjkrsWw6SE,order_MCiay0x1BAZOKs,2026-07-03T08:24:00+00:00,248800,INR,upi,captured,Rohan Gupta LLP,6469,1164
pay_aOBSMjzQ1fgUKx,order_7tirfILLWQ0OsG,2026-07-04T04:36:02+00:00,435500,USD,netbanking,captured,Vivaan Nair Enterprises,11323,2038
pay_bV92hB0BckOW2k,order_AtyVJEIHDIjdqK,2026-07-05T19:26:50+00:00,4042400,INR,card,captured,Vivaan Kapoor Solutions,105102,18918
pay_EuVx518ox1ztD4,order_x9XOj7h7ug0g4a,2026-07-06T14:10:50+00:00,28411900,INR,card,captured,Vivaan Reddy Pvt Ltd,738709,132968
pay_WDFDTA7Xrc5UTI,order_dDkd9YMrfF0rir,2026-07-06T22:26:47+00:00,2751400,INR,upi,captured,Vihaan Gupta Industries,71536,12876
pay_8A78irco0z3CUK,order_FNyKdPis05yZuC,2026-07-07T10:36:25+00:00,218000,INR,card,failed,Ishani Kapoor Industries,,
pay_x7CHHP1QXqE7rs,order_68VRQEDI5SrJH3,2026-07-07T20:42:50+00:00,150321600,INR,card,captured,Dev Patel Industries,3908362,703505
pay_zrAkliEFgJnmUY,order_l82B4gNefhdboE,2026-07-07T21:54:51+00:00,343200,EUR,upi,captured,Arjun Iyer Pvt Ltd,8923,1606
pay_c06PVz0oRaFxMP,order_MDEaIaGr8bYPX4,2026-07-08T00:17:07+00:00,49100,USD,card,captured,Diya Gupta LLP,1277,230
pay_T5lbbFj1hnunT6,order_qD7vIsUEFylkQ3,2026-07-08T05:24:07+00:00,1538000,INR,card,captured,Rohan Kapoor LLP,39988,7198
pay_H8cyV7lB2Vrks4,order_Q4COfFlK3HyubC,2026-07-08T12:29:58+00:00,17882800,INR,upi,captured,Aarav Gupta LLP,464953,83692
pay_KIDYvf0A6zB0bi,order_2sTEOvnAUVQsKJ,2026-07-08T19:12:15+00:00,241400,INR,card,failed,Aarav Bose Solutions,,
pay_QPHhalZaAHv9O5,order_96QcBk5V4kwivd,2026-07-08T21:06:02+00:00,457800,INR,netbanking,refunded,Vihaan Gupta Enterprises,11903,2143
pay_72YJR7IVU7CCKb,order_heN9Pot7GaZpfP,2026-07-09T01:07:11+00:00,47097200,INR,upi,captured,Aadhya Kapoor Technologies,1224527,220415
pay_HerohwHuPpUV0l,order_Li1SHqVrv96YUa,2026-07-09T02:16:29+00:00,412000,USD,upi,captured,Ishani Kapoor Technologies,10712,1928
pay_NoK9oM3tTUMdxs,order_jmc5L6TurNVG8O,2026-07-09T06:23:14+00:00,3005900,INR,card,captured,Ishani Nair Pvt Ltd,78153,14068
pay_UxhdCzEzo2q7Pp,order_IWszfNm8x9WHA4,2026-07-09T11:59:27+00:00,3730700,INR,netbanking,failed,Reyansh Patel Technologies,,
pay_uRDr68JjJ4BQT3,order_iIty0BfdNKn6rb,2026-07-09T14:48:56+00:00,448400,USD,netbanking,captured,Kiara Patel Industries,11658,2098
pay_E40fAraVNqTIAa,order_e24HZKjht3X13n,2026-07-09T19:28:33+00:00,266200,INR,card,captured,Reyansh Gupta Technologies,6921,1246
pay_hJyV4ZjtfbaVjM,order_H8JbT8NWlOnm0T,2026-07-09T22:09:37+00:00,1327900,INR,upi,captured,Aadhya Sharma Enterprises,34525,6214
pay_BIZMLhfx9IwiLy,order_ccSXGj3i5tyM0K,2026-07-09T22:09:50+00:00,366400,INR,netbanking,captured,Reyansh Chauhan Solutions,9526,1715
pay_4iCppaX3QjBvKN,order_Ap0mxDoJJ9s8Or,2026-07-10T13:30:56+00:00,247200,INR,netbanking,captured,Aadhya Mehta LLP,6427,1157
pay_xoNe3awtx0AHkD,order_9eKan56yrSVAyN,2026-07-10T19:59:32+00:00,2068500,INR,netbanking,failed,Myra Singh Solutions,,
pay_yjQ312WnXRCI4h,order_iCGItUBY3A4Bj1,2026-07-10T21:10:55+00:00,364500,INR,netbanking,captured,Aarav Jain Technologies,9477,1706
pay_9RshuS1HzRyYWG,order_dZHYOUmOh1RaBt,2026-07-11T20:54:59+00:00,3016300,INR,card,captured,Rohan Das Industries,78424,14116
pay_mbksf0tyEOfHl2,order_wBqCoqdUPfvH8K,2026-07-12T05:55:05+00:00,492600,EUR,netbanking,captured,Vivaan Sharma LLP,12808,2305
pay_6cv1WChGtaPxgw,order_1lqq7vlAzUwyBJ,2026-07-12T10:35:52+00:00,396600,INR,wallet,captured,Reyansh Das LLP,10312,1856
pay_9Z8aPB4MM7Qt46,order_xHr4YxXBc3lF6k,2026-07-12T18:40:01+00:00,206102,INR,wallet,captured,Aarav Iyer LLP,12597,2267
pay_SwCgOawNXHxg3E,order_YUzpmh0nZluUcN,2026-07-12T22:40:59+00:00,4431800,INR,upi,captured,Ishani Sharma Pvt Ltd,115227,20741
pay_gYJ9ZGkjfsTCT9,order_pEwavS3W13KgQT,2026-07-13T00:00:02+00:00,252700,INR,card,captured,Rohan Das Technologies,6570,1183
pay_U5iaX6fpHuyMwO,order_WYLhJtqlCBC7D0,2026-07-13T12:12:03+00:00,362300,INR,card,failed,Anika Singh Solutions,,
pay_1dOOdTXglHilC2,order_eY1gOHafUozD13,2026-07-13T12:55:05+00:00,386700,INR,card,captured,Aarav Reddy Solutions,10054,1810
pay_QGrIkEesCnZhEa,order_vZdi2WF7I7SiTA,2026-07-13T14:33:57+00:00,121500,USD,wallet,captured,Diya Rao Pvt Ltd,3159,569
pay_0D1K6e3F1xsd0i,order_mzJ4CtSWENkNaq,2026-07-13T20:31:25+00:00,290800,INR,upi,captured,Anika Sharma Enterprises,7561,1361
pay_V2zWwCN1e3ucAq,order_6HXWf2Td6P3gwM,2026-07-13T20:31:25+00:00,422600,INR,card,failed,Ishani Nair Solutions,,
pay_FSq0sqhnHsN6ri,order_2d89nhON8u62qi,2026-07-14T15:54:36+00:00,3860600,INR,upi,captured,Ishani Rao Technologies,100376,18068
pay_gSZfd3DBwGKGyq,order_EAB5E8ZihSiR1h,2026-07-14T18:32:46+00:00,2867600,INR,card,captured,Ananya Das LLP,74558,13420
pay_CzH7mtqhjQZRcZ,order_ufpwFPq9bzCUpC,2026-07-15T05:35:52+00:00,184600,INR,upi,captured,Ishani Sharma Solutions,4800,864
pay_wkWolGc97KYZUz,order_xOTkJ0dqYdCDD6,2026-07-15T12:23:13+00:00,4819800,INR,wallet,refunded,Arjun Iyer Solutions,125315,22557
pay_UJfAWjuDUHqyAR,order_VDmyJI9GpqAQJg,2026-07-15T14:48:12+00:00,371800,INR,netbanking,captured,Arjun Kapoor Enterprises,9667,1740
pay_fHtKE5vlbGxf8H,order_rlVj7Qd7lSsgi3,2026-07-15T18:02:05+00:00,4298100,INR,card,captured,Aadhya Singh Pvt Ltd,111751,20115
pay_rwQuDBWEgOfrZ3,order_mTMT30NYJVncq3,2026-07-16T12:55:18+00:00,4699700,INR,netbanking,captured,Ananya Patel Pvt Ltd,122192,21995
pay_GNtvHXBwqsaY0v,order_Da56DaAsoaxzIy,2026-07-16T15:35:37+00:00,4196100,INR,card,captured,Vihaan Kapoor Solutions,109099,19638
pay_98i54tI6ht2TV2,order_zzB535qWglVLqJ,2026-07-17T03:02:31+00:00,1386300,INR,card,captured,Arjun Chauhan Solutions,36044,6488
pay_TfVc0PkwBM2fYl,order_y7qx0XOXhRd6jz,2026-07-17T12:31:25+00:00,306100,INR,netbanking,refunded,Vivaan Gupta Pvt Ltd,7959,1433
pay_ZmZ2TAYeQbScel,order_peY4zBztyhaSdU,2026-07-17T16:41:05+00:00,4991800,INR,card,captured,Rohan Iyer Enterprises,129787,23362
pay_NMdZEHNJSsavJl,order_PGw7HWFb2cxxUw,2026-07-18T02:54:00+00:00,245300,INR,card,captured,Kabir Chauhan LLP,6378,1148
pay_DHW7B4JZI3mSJi,order_PZTZTa35EtXPqS,2026-07-18T04:35:17+00:00,336100,INR,wallet,failed,Reyansh Iyer Solutions,,
pay_HXw3HNfVOwOc8Q,order_yU7AaqFGJJByVK,2026-07-18T06:27:11+00:00,41265400,INR,netbanking,captured,Vivaan Sharma Industries,1072900,193122
pay_KXSQbD7WWJSKkM,order_M0jQb6gbtjQzW5,2026-07-18T10:33:18+00:00,139700,INR,upi,failed,Vihaan Reddy Technologies,,
pay_OaN6tN28TQoETX,order_v66DORgxLS12WS,2026-07-18T18:30:34+00:00,20677069,INR,card,captured,Vivaan Bose Enterprises,831904,149743
pay_bn9nbFhSXxNVMK,order_cgZchBhpRmQaAg,2026-07-19T17:11:37+00:00,47572600,INR,netbanking,captured,Arjun Singh Industries,1236888,222640
pay_OannOrMc2zVE9S,order_X5JpfuNy5VikVQ,2026-07-19T20:06:41+00:00,62200,INR,wallet,captured,Anika Sharma Enterprises,1617,291
pay_xDALAj7DVAf4sH,order_IkxsrIDuSm4a1T,2026-07-20T05:11:15+00:00,344500,INR,card,refunded,Reyansh Reddy Technologies,8957,1612
