invoice_no,invoice_date,party_name,party_gstin,gross_amount,tax_amount,net_amount,currency,pg_reference
INV-2026-00037,2026-06-14,Myra Singh LLP,36BDGRW4586G1Z6,49011.0,7476.25,41534.75,INR,order_5TdmCoUV0z14N0
INV-2026-00038,2026-06-15,VIVAAN BOSE ENTERPRISES,36ZTGEG5273Q1Z0,27826.0,4244.64,23581.36,INR,order_OJBD3nXmOw1gW1
INV-2026-00039,2026-06-15,Anika Singh Industries,33NQGGH2539H1Z5,2736.0,417.36,2318.64,INR,order_gdeQ8xQjMfeUVX
INV-2026-00040,2026-06-15,Kiara Gupta LLP,33TLKJI3722G1Z9,316992.0,48354.71,268637.29,INR,order_veCcwrN8fKxJ7T
INV-2026-00041,2026-06-18,Ishani Jain Technologies,06AYSIC4768M1Z2,89250.0,13614.41,75635.59,INR,order_EOgzIafLMsFmP6
INV-2026-00042,2026-06-15,Reyansh Gupta Enterprises,27ERYGM2004B1Z7,44595.0,6802.63,37792.37,INR,order_x6UydyY8LeQDOz
INV-2026-00043,2026-06-16,Kabir Jain Enterprises,24TSRYT8181I1Z1,417366.0,63666.0,353700.0,INR,
INV-2026-00044,2026-06-16,Anika Kapoor Pvt Ltd,33YAPUK5194X1Z2,405109.0,61796.29,343312.71,INR,order_XkfFNuYUPnmbpD
INV-2026-00045,2026-06-16,Anika Gupta Solutions,24TDKRI6327Q1Z2,23871.0,3641.34,20229.66,INR,order_wQCaiuQQSRTpfd
INV-2026-00046,2026-06-16,Vivaan Gupta Technologies,07GFRIL6753W1Z3,2290.0,349.32,1940.68,INR,order_1ROCzvHGVhkAkK
INV-2026-00047,2026-06-19,Sara Kapoor Enterprises,29FLSAB8191X1Z4,36342.0,5543.69,30798.31,INR,order_aidyYG42CJTr2C
INV-2026-00048,2026-06-17,Reyansh Sharma Solutions,27CINMF9612V1Z7,408512.0,62315.39,346196.61,INR,order_dVYH1QTIdVRAAi
INV-2026-00049,2026-06-17,Myra Singh Technologies,29GVEKJ9989W1Z8,1923.0,293.34,1629.66,INR,order_MPEJwWtnleFzHf
INV-2026-00050,2026-06-17,Anika Sharma Enterprises,36SPJXE2597J1Z8,202802.0,30935.9,171866.1,INR,order_CRBsQYXzENpOSW
INV-2026-00051,2026-06-17,Anika Chauhan Industries,27JZKFC5459A1Z6,11104.0,1693.83,9410.17,INR,order_W3VcMZb5jC9A94
INV-2026-00052,2026-06-21,Rohan Mehta LLP,29HYEWK0876V1Z6,526.0,80.24,445.76,INR,order_aub52Ztd26fEeV
INV-2026-00053,2026-06-19,Ishani Nair Enterprises,27WPMSV9111T1Z7,24944.0,3805.02,21138.98,INR,order_WzmscuSTh9rfIG
INV-2026-00054,2026-06-19,Myra Iyer Technologies,36XDTYD4670D1Z8,15848.0,2417.49,13430.51,INR,order_69CrxG7YXipN2I
INV-2026-00055,2026-06-22,Arjun Chauhan Industries,27KYQBP6492F1Z4,15747.0,2402.08,13344.92,INR,order_21kiVdtT7rl37a
INV-2026-00056,2026-06-19,Rohan Sharma LLP,33LFUPD9555F1Z1,22232.0,3391.32,18840.68,INR,order_1acw5l7cXSOnp4
INV-2026-00057,2026-06-19,Anika Nair Solutions,33SEYWN9052Z1Z7,178285.0,27196.02,151088.98,INR,order_8pIx5F21rWz5FY
INV-2026-00058,2026-06-19,Aarav Patel Industries,06RPAWD9881P1Z7,408512.0,62315.39,346196.61,INR,order_itGihch2ZU5r2M
INV-2026-00059,2026-06-20,Kiara Reddy Technologies,19MEZZZ3145H1Z1,304438.0,46439.69,257998.31,INR,order_qwaNxlb1WoSOHy
INV-2026-00060,2026-06-20,Arjun Bose Enterprises,06QNVHB6266D1Z9,11825.0,1803.81,10021.19,INR,order_mwTRVE1jwYhm8V
INV-2026-00061,2026-06-20,Ishani Rao Pvt Ltd,33CZGWO1171K1Z2,2820.0,430.17,2389.83,INR,order_KcrAnCxmDh74zY
INV-2026-00062,2026-06-21,Kiara Sharma Industries,07WIOHI0005D1Z8,630.0,96.1,533.9,INR,order_jR7D1KmJZdaNS8
INV-2026-00063,2026-06-21,VIVAAN CHAUHAN ENTERPRISES,06PSLDQ9559G1Z0,18493.0,2820.97,15672.03,INR,order_CjF4nw81FWlrkt
INV-2026-00064,2026-06-23,Dev Kapoor Enterprises,27EUDPW2285E1Z4,4902.0,747.76,4154.24,INR,order_OzESBkJXncnrWJ
INV-2026-00065,2026-06-21,Aadhya Nair Enterprises,06OCSIV7750Z1Z8,310153.0,47311.47,262841.53,INR,order_AQvc1v9r86eNwX
INV-2026-00066,2026-06-22,Myra Mehta Enterprises,27IKCYS8254X1Z5,24043.0,3667.58,20375.42,INR,order_U0r0YGbjPmUjrp
INV-2026-00067,2026-06-22,ANIKA BOSE ENTERPRISES,24IZLXD5316F1Z4,611.0,93.2,517.8,INR,order_hK4OlR5eHvS9mS
INV-2026-00068,2026-06-22,Dev Reddy Pvt Ltd,29SNKKO2269V1Z5,1514.0,230.95,1283.05,INR,order_J71OQqzbWVa4OL
INV-2026-00069,2026-06-22,Vihaan Sharma Pvt Ltd,24SMPFL2984T1Z9,37757.0,5759.54,31997.46,INR,order_ERx8uZnTYRd1lE
INV-2026-00070,2026-06-22,Arjun Bose Pvt Ltd,36TDHFJ3291U1Z7,45074.0,6875.69,38198.31,INR,order_BkTDBFKQ50SD2S
INV-2026-00071,2026-06-23,Arjun Das Industries,33NQTBR5660P1Z6,35377.0,5396.49,29980.51,INR,order_GscecgAfOJppfF
INV-2026-00072,2026-06-23,KIARA MEHTA,07YQIIQ6553L1Z5,1572.0,239.8,1332.2,INR,order_rBHs8YGPI5g2q3
INV-2026-00073,2026-06-23,ROHAN DAS SOLUTIONS,33RATMR6505G1Z9,3253.0,496.22,2756.78,INR,order_xnuVxUZpfbH9vO
INV-2026-00074,2026-06-26,Anika Singh Technologies,19BDNMH2100L1Z9,3756.0,572.95,3183.05,INR,order_f8VRgksbudwApz
INV-2026-00075,2026-06-26,MYRA CHAUHAN SOLUTIONS,36LBPOC1809Q1Z0,1595.0,243.31,1351.69,INR,order_YBh8xLx0Y8hwla
INV-2026-00076,2026-06-26,VIHAAN SHARMA,19XWICY3793C1Z9,165812.0,25293.36,140518.64,INR,order_pepgaxT82ExHgD
INV-2026-00077,2026-06-26,Arjun Patel Enterprises,36QBXMG2247W1Z9,3057.0,466.32,2590.68,INR,order_tiRrpeMvBiDPgd
INV-2026-00078,2026-06-27,Vivaan Nair LLP,06PESWQ2781U1Z5,388044.8,59193.27,328851.53,INR,order_PlZLbm4xmsGCwa
INV-2026-00079,2026-06-28,Arjun Kapoor Industries,33MZKEG1161V1Z2,14643.2,2233.71,12409.49,INR,order_btP7ySeQMgV0Lh
INV-2026-00080,2026-06-29,DIYA NAIR TECHNOLOGIES,29QPDCJ6085S1Z4,34218.0,5219.69,28998.31,INR,order_NVD6i3pwl4u1uE
INV-2026-00081,2026-06-29,VIHAAN SINGH ENTERPRISES,24APSVC5736J1Z6,11716.0,1787.19,9928.81,INR,order_tIapMW1Z4ROUHL
INV-2026-00082,2026-06-29,Dev Nair LLP,36ABBUN8908X1Z9,206169.6,31449.6,174720.0,INR,order_4XTx6IIhaKH6sU
INV-2026-00083,2026-06-30,Aarav Patel LLP,29BVKCE9823F1Z0,855.0,130.42,724.58,INR,order_4XW18WjjBX8YhA
INV-2026-00084,2026-07-01,Kiara Singh Solutions,27HVOEJ0365L1Z8,1472.0,224.54,1247.46,INR,order_srlTaHecDtCuxZ
INV-2026-00085,2026-07-05,Arjun Patel Industries,07JJKBV0446V1Z3,2698.0,411.56,2286.44,INR,order_ifBvKCMACzXtxl
INV-2026-00086,2026-07-02,Diya Singh LLP,07SQTEO8677Y1Z7,247353.6,37731.91,209621.69,INR,order_wdwN7dsNemMVLk
INV-2026-00087,2026-07-02,DIYA RAO TECHNOLOGIES,29JKPVT3609G1Z2,4877.0,743.95,4133.05,INR,order_70SRXz4hibvQiB
INV-2026-00088,2026-07-02,Vihaan Gupta Industries,27NQEYJ1123S1Z6,22256.0,3394.98,18861.02,INR,order_LFikeNnlwShoYS
INV-2026-00089,2026-07-02,Reyansh Das Enterprises,06AHWGL0688N1Z3,2501.0,381.51,2119.49,INR,order_qQ3yz9tcGvLAC8
INV-2026-00090,2026-07-05,Aadhya Das LLP,19SVZCE4780A1Z9,2297.0,350.39,1946.61,INR,order_Il92EtEfonGa4m
INV-2026-00091,2026-07-05,Anika Rao Pvt Ltd,27DVHQB3040T1Z0,23961.0,3655.07,20305.93,INR,order_ZVPEJqzCN2fFr6
INV-2026-00092,2026-07-03,Sara Chauhan Solutions,07PLKPO4533O1Z7,298944.0,45601.63,253342.37,INR,order_8YhA9A9MZp44ey
INV-2026-00093,2026-07-05,Rohan Gupta LLP,27CACOP3977W1Z8,2488.0,379.53,2108.47,INR,order_MCiay0x1BAZOKs
INV-2026-00094,2026-07-04,Vivaan Nair Enterprises,06XEZDS2025A1Z6,362336.0,55271.59,307064.41,INR,order_7tirfILLWQ0OsG
INV-2026-00095,2026-07-05,Vivaan Kapoor Solutions,24IERSN2582A1Z7,40424.0,6166.37,34257.63,INR,order_AtyVJEIHDIjdqK
INV-2026-00096,2026-07-06,Vivaan Reddy Pvt Ltd,19IELGC2236C1Z7,284119.0,43340.19,240778.81,INR,order_x9XOj7h7ug0g4a
INV-2026-00097,2026-07-06,Vihaan Gupta Industries,19ABCXD6334Z1Z4,27514.0,4197.05,23316.95,INR,
INV-2026-00098,2026-07-09,Dev Patel Industries,36HNJJY2310Q1Z9,1503216.0,229304.14,1273911.86,INR,order_68VRQEDI5SrJH3
INV-2026-00099,2026-07-07,Arjun Iyer Pvt Ltd,07XLPKB9877N1Z9,310596.0,47379.05,263216.95,INR,order_l82B4gNefhdboE
INV-2026-00100,2026-07-08,Diya Gupta LLP,33VEMAY1284M1Z6,40851.2,6231.54,34619.66,INR,order_MDEaIaGr8bYPX4
INV-2026-00101,2026-07-11,Rohan Kapoor LLP,36AMVKZ5007I1Z7,15380.0,2346.1,13033.9,INR,order_qD7vIsUEFylkQ3
INV-2026-00102,2026-07-08,AARAV GUPTA LLP,33JVEUG0607E1Z1,178828.0,27278.85,151549.15,INR,order_Q4COfFlK3HyubC
INV-2026-00103,2026-07-11,Vihaan Gupta Enterprises,07TMONQ3188O1Z1,4578.0,698.34,3879.66,INR,order_96QcBk5V4kwivd
INV-2026-00104,2026-07-09,AADHYA KAPOOR TECHNOLOGIES,24ZTASF7233Z1Z5,470972.0,71843.19,399128.81,INR,order_heN9Pot7GaZpfP
INV-2026-00105,2026-07-09,Ishani Kapoor Technologies,27ISALV6215K1Z1,342784.0,52289.08,290494.92,INR,order_Li1SHqVrv96YUa
INV-2026-00106,2026-07-09,Ishani Nair Pvt Ltd,06AMHFM1882G1Z9,30059.0,4585.27,25473.73,INR,order_jmc5L6TurNVG8O
INV-2026-00107,2026-07-09,Kiara Patel Industries,29DPYGJ4722T1Z6,373068.8,56908.8,316160.0,INR,order_iIty0BfdNKn6rb
INV-2026-00108,2026-07-09,Reyansh Gupta Technologies,24WPQXZ7798I1Z5,2662.0,406.07,2255.93,INR,order_e24HZKjht3X13n
INV-2026-00109,2026-07-12,Aadhya Sharma Enterprises,29WULUU4164S1Z3,13279.0,2025.61,11253.39,INR,order_H8JbT8NWlOnm0T
INV-2026-00110,2026-07-09,Reyansh Chauhan Solutions,07JPDWN8329Q1Z5,3664.0,558.92,3105.08,INR,order_ccSXGj3i5tyM0K
INV-2026-00111,2026-07-13,Aadhya Mehta LLP,24OQATV7873B1Z1,2472.0,377.08,2094.92,INR,order_Ap0mxDoJJ9s8Or
INV-2026-00112,2026-07-10,Aarav Jain Technologies,24MFAWL3800Y1Z8,3645.0,556.02,3088.98,INR,order_iCGItUBY3A4Bj1
INV-2026-00113,2026-07-11,ROHAN DAS INDUSTRIES,06SECJF4094N1Z2,30163.0,4601.14,25561.86,INR,order_dZHYOUmOh1RaBt
INV-2026-00114,2026-07-12,Vivaan Sharma LLP,19FCHTG8566T1Z1,445803.0,68003.85,377799.15,INR,order_wBqCoqdUPfvH8K
INV-2026-00115,2026-07-15,Reyansh Das LLP,33UWPEY9677I1Z4,3966.0,604.98,3361.02,INR,order_1lqq7vlAzUwyBJ
INV-2026-00116,2026-07-12,Aarav Iyer LLP,33MXDRJ6747S1Z2,4845.0,739.07,4105.93,INR,order_xHr4YxXBc3lF6k
INV-2026-00117,2026-07-12,Ishani Sharma Pvt Ltd,33CGWPO2747E1Z1,44318.0,6760.37,37557.63,INR,order_YUzpmh0nZluUcN
INV-2026-00118,2026-07-13,Rohan Das Technologies,33OGAXU7001F1Z7,2527.0,385.47,2141.53,INR,order_pEwavS3W13KgQT
INV-2026-00119,2026-07-13,Aarav Reddy Solutions,33GQWVL1123Q1Z0,3867.0,589.88,3277.12,INR,order_eY1gOHafUozD13
INV-2026-00120,2026-07-13,Diya Rao Pvt Ltd,19SSMYD1170L1Z5,101088.0,15420.2,85667.8,INR,order_vZdi2WF7I7SiTA
INV-2026-00121,2026-07-16,Anika Sharma Enterprises,27YKERV4061M1Z2,2908.0,443.59,2464.41,INR,order_mzJ4CtSWENkNaq
INV-2026-00122,2026-07-14,Ishani Rao Technologies,19VLQYX7199D1Z2,38606.0,5889.05,32716.95,INR,order_2d89nhON8u62qi
INV-2026-00123,2026-07-14,Ananya Das LLP,19INVNN4673C1Z2,28676.0,4374.31,24301.69,INR,order_EAB5E8ZihSiR1h
INV-2026-00124,2026-07-15,ISHANI SHARMA SOLUTIONS,36YCXUS8283H1Z7,1846.0,281.59,1564.41,INR,order_ufpwFPq9bzCUpC
INV-2026-00125,2026-07-15,ARJUN IYER SOLUTIONS,07ZDHOU9732V1Z6,48198.0,7352.24,40845.76,INR,order_xOTkJ0dqYdCDD6
INV-2026-00126,2026-07-16,Arjun Kapoor Enterprises,19MNGYD0011V1Z8,3718.0,567.15,3150.85,INR,order_VDmyJI9GpqAQJg
INV-2026-00127,2026-07-15,AADHYA SINGH,33CUZFD6872M1Z6,42981.0,6556.42,36424.58,INR,order_rlVj7Qd7lSsgi3
INV-2026-00128,2026-07-18,Ananya Patel Pvt Ltd,33SLMWD0920V1Z7,46997.0,7169.03,39827.97,INR,order_mTMT30NYJVncq3
INV-2026-00129,2026-07-16,Vihaan Kapoor Solutions,36INONK5234G1Z6,41961.0,6400.83,35560.17,INR,order_Da56DaAsoaxzIy
INV-2026-00130,2026-07-20,Arjun Chauhan Solutions,33XBWEA5140T1Z4,13863.0,2114.69,11748.31,INR,order_zzB535qWglVLqJ
INV-2026-00131,2026-07-18,Vivaan Gupta Pvt Ltd,27RZBMG3761M1Z4,3061.0,466.93,2594.07,INR,order_y7qx0XOXhRd6jz
INV-2026-00132,2026-07-17,Rohan Iyer Enterprises,36AMTFU7457E1Z6,49918.0,7614.61,42303.39,INR,order_peY4zBztyhaSdU
INV-2026-00133,2026-07-18,KABIR CHAUHAN LLP,07KADIZ6307V1Z2,2453.0,374.19,2078.81,INR,order_PGw7HWFb2cxxUw
INV-2026-00134,2026-07-18,VIVAAN SHARMA INDUSTRIES,29ADWGE4903J1Z3,412654.0,62947.22,349706.78,INR,order_yU7AaqFGJJByVK
INV-2026-00135,2026-07-18,Vivaan Bose Enterprises,06SXZUO9768H1Z9,319963.0,48807.92,271155.08,INR,order_v66DORgxLS12WS
INV-2026-00136,2026-07-19,Arjun Singh Industries,33HZZBP8285Z1Z3,475726.0,72568.37,403157.63,INR,order_cgZchBhpRmQaAg
INV-2026-00137,2026-07-19,Anika Sharma Enterprises,29NCTQC4689I1Z7,622.0,94.88,527.12,INR,order_X5JpfuNy5VikVQ
INV-2026-00138,2026-07-21,Reyansh Reddy Technologies,24CVUFU7459B1Z9,3445.0,525.51,2919.49,INR,order_IkxsrIDuSm4a1T
INV-2026-00139,2026-07-20,Reyansh Patel Pvt Ltd,29RVIZW0056I1Z4,3814.0,581.8,3232.2,INR,order_T0QkQkuC7PAb82
INV-2026-00140,2026-07-21,Sara Kapoor LLP,07EYJHW1773R1Z4,1447.0,220.73,1226.27,INR,order_9EgBOfiyKg58e8
INV-2026-00141,2026-07-21,Kiara Patel Technologies,36ALQXM7039I1Z0,255091.2,38912.22,216178.98,INR,order_EQRO5TpcYNPROq
INV-2026-00142,2026-07-22,Ishani Bose LLP,27TCHHS4119D1Z5,4216.0,643.12,3572.88,INR,order_61gQH8wylh0CPN
INV-2026-00143,2026-07-23,Ananya Chauhan Industries,24QNAMS2387L1Z8,26156.0,3989.9,22166.1,INR,order_8GfSLWRA0qJM5M
INV-2026-00144,2026-07-26,Aarav Iyer LLP,24FMKSH3359N1Z5,1137.0,173.44,963.56,INR,order_JIWct6awrymUS8
INV-2026-00145,2026-07-23,Anika Gupta LLP,06YEZBY0342H1Z3,3899.0,594.76,3304.24,INR,order_VSGeuyVAyc5jJ8
INV-2026-00146,2026-07-24,Ananya Mehta Industries,29WUSNA9208S1Z5,2831.0,431.85,2399.15,INR,order_4evtOSLy3W6UGB
INV-2026-00147,2026-07-25,Reyansh Singh Enterprises,29KGHGP4092W1Z7,3501.0,534.05,2966.95,INR,order_1hkHcOAFAbDbtJ
INV-2026-00148,2026-07-26,Myra Rao Technologies,36UDRTS2622X1Z5,3683.0,561.81,3121.19,INR,order_BqceTWbEOacyju
INV-2026-00149,2026-07-27,VIVAAN DAS INDUSTRIES,29LQHBN1447B1Z2,4056.0,618.71,3437.29,INR,order_u8VdwjHgEtINv3
INV-2026-00150,2026-07-27,VIVAAN PATEL INDUSTRIES,06FJSZV2284O1Z9,28108.0,4287.66,23820.34,INR,order_fSGWYnfwm0wDig
INV-2026-00151,2026-07-28,Kabir Singh Solutions,27GFHCL6898D1Z2,335046.4,51108.77,283937.63,INR,order_3TzBkT3TzZLis9
INV-2026-00152,2026-07-28,Vihaan Jain Solutions,33SIWXL8144K1Z4,376646.4,57454.54,319191.86,INR,order_BtIo798a00Hcog
INV-2026-00153,2026-07-28,AADHYA MEHTA INDUSTRIES,24WUJHK4549Y1Z0,10552.0,1609.63,8942.37,INR,order_vVl9jsWFHTGP2M
INV-2026-00154,2026-07-30,ISHANI SHARMA TECHNOLOGIES,27WTDSV4192O1Z6,4574.0,697.73,3876.27,INR,order_002lghqYVlQufw
INV-2026-00155,2026-07-30,Anika Rao LLP,19KQFBL0399U1Z6,32373.0,4938.25,27434.75,INR,order_vukFhF4vTYYojm
INV-2026-00156,2026-07-31,Ananya Nair Pvt Ltd,29EBOGC0773T1Z2,1186.0,180.92,1005.08,INR,order_KqHJL9ymIIlID9
INV-2026-00157,2026-08-03,Diya Das Solutions,24IIVHW0391I1Z2,12715.0,1939.58,10775.42,INR,order_aP4ZPjfFSgpo9s
INV-2026-00158,2026-07-31,Arjun Mehta Pvt Ltd,27ZRPDB2373L1Z8,18486.0,2819.9,15666.1,INR,order_Kv0MYRsMfihslQ
INV-2026-00159,2026-08-01,Vivaan Das Industries,36GULAO0981W1Z2,386981.0,59031.0,327950.0,INR,
INV-2026-00160,2026-08-01,Aadhya Patel Pvt Ltd,29GXKZQ8809T1Z1,32143.0,4903.17,27239.83,INR,order_VrhEAiHoIPvyUB
INV-2026-00161,2026-08-04,Kabir Sharma Industries,36PTEZJ5015T1Z7,28228.0,4305.97,23922.03,INR,order_DNRf0Nu8834o3Q
INV-2026-00162,2026-08-02,Anika Patel Pvt Ltd,36LKFIG8399Z1Z8,428427.0,65353.27,363073.73,INR,order_BEmLtST18iwItC
INV-2026-00163,2026-08-02,Sara Bose Technologies,24YSLGU4559N1Z4,2588.0,394.78,2193.22,INR,
INV-2026-00164,2026-08-02,Anika Nair Industries,19SRGAW9653G1Z4,36608.0,5584.27,31023.73,INR,order_K03NPGoDErVDfV
INV-2026-00165,2026-08-03,Myra Singh Industries,27FGXWV6530H1Z3,3452.0,526.58,2925.42,INR,order_Bavh1RDofXgwsx
INV-2026-00166,2026-08-03,Reyansh Das Technologies,24QLHBE7959B1Z7,3925.0,598.73,3326.27,INR,order_oKdrL0Pragiqwz
INV-2026-00167,2026-08-04,Kiara Mehta Pvt Ltd,19YUSDB4028V1Z9,6471.0,987.1,5483.9,INR,
INV-2026-00168,2026-08-04,Aarav Reddy Enterprises,07AEVKC1044W1Z4,270765.0,41303.14,229461.86,INR,order_jjipaZzVDiG6DS
INV-2026-00169,2026-08-05,Ishani Patel LLP,29FEPIL6879V1Z5,45170.0,6890.34,38279.66,INR,order_DRlPgZ8AFzVtCG
INV-2026-00170,2026-08-04,Reyansh Nair Enterprises,07OEJNE4636I1Z6,44872.0,6844.88,38027.12,INR,order_sn1bYQrII5jcwi
INV-2026-00171,2026-08-05,Ishani Gupta Industries,07SFCPW4275M1Z6,2549.0,388.83,2160.17,INR,order_griAubP678hEEQ
INV-2026-00172,2026-08-05,Sara Nair Enterprises,33NKGLR7817J1Z5,45528.0,6944.95,38583.05,INR,order_oIjzQDcrr1eoqX
INV-2026-00173,2026-08-06,Anika Chauhan Technologies,29IHXFL2697O1Z9,121514.0,18536.03,102977.97,INR,order_gbFy5sDlo0qLBO
INV-2026-00174,2026-08-06,Myra Gupta LLP,27SYLIG0135M1Z1,144028.0,21970.37,122057.63,INR,order_CKEVm3Vpazov02
INV-2026-00175,2026-08-06,ARJUN GUPTA SOLUTIONS,27AUXHG9882U1Z7,28036.0,4276.68,23759.32,INR,order_VOXlglsOeC9VQP
INV-2026-00176,2026-08-06,Dev Gupta Pvt Ltd,06CWTPU7361H1Z3,241779.2,36881.57,204897.63,INR,order_g5PPMVHcDME931
INV-2026-00177,2026-08-07,Rohan Sharma Industries,24CVQCC9257T1Z6,244712.0,37328.95,207383.05,INR,order_AUttmXE9AhkuxJ
INV-2026-00178,2026-08-07,ROHAN DAS TECHNOLOGIES,07UHDWB2638P1Z4,25622.0,3908.44,21713.56,INR,order_fcgMXAdx9G81aS
INV-2026-00179,2026-08-07,Reyansh Nair Technologies,06PPMNU3611C1Z3,3966.0,604.98,3361.02,INR,
INV-2026-00180,2026-08-09,ROHAN SINGH SOLUTIONS,36STQDT1622B1Z0,2879.0,439.17,2439.83,INR,order_WtFuaQvSMbkuuP
