txn_date,value_date,ref_no,debit,credit,narration,balance,bank_txn_ref
27-06-2026,27-06-2026,UTR713457229303,,3640.76,RAZORPAY SETTLEMENT setl_1bjJWTKvbsDOTl,7212634.41,UTR713457229303
27-06-2026,27-06-2026,UTR347599270351,165812.0,,RAZORPAY REFUND pay_J6iUo8k2fRN2Bq,7046822.41,UTR347599270351
28-06-2026,28-06-2026,UTR596465547165,,165234.17,RAZORPAY SETTLEMENT setl_LmazDnKf7jdjjm,7212056.58,UTR596465547165
29-06-2026,29-06-2026,UTR671929587716,3756.0,,RAZORPAY REFUND pay_euPH7M3EHMoQro,7208300.58,UTR671929587716
29-06-2026,29-06-2026,UTR358709355788,1595.0,,RAZORPAY REFUND pay_5LaakIREyf2OH3,7206705.58,UTR358709355788
29-06-2026,29-06-2026,UTR970022991803,4664.0,,RAZORPAY REFUND pay_X4Jyx6dxDu7Nsk,7202041.58,UTR970022991803
01-07-2026,01-07-2026,UTR263652012242,,44524.74,RAZORPAY SETTLEMENT setl_hQRCCOdLUfgyil,7246566.32,UTR263652012242
02-07-2026,02-07-2026,UTR224450052888,,2255.61,RAZORPAY SETTLEMENT setl_hSBSP5V5mMTcJA,7248821.93,UTR224450052888
03-07-2026,03-07-2026,UTR812901566161,1472.0,,RAZORPAY REFUND pay_0gwrGhsxsbiWA6,7247349.93,UTR812901566161
04-07-2026,04-07-2026,UTR704128085439,,31142.31,RAZORPAY SETTLEMENT setl_uHOC2YWgVrgrWQ,7278492.24,UTR704128085439
04-07-2026,04-07-2026,UTR132212122337,855.0,,RAZORPAY REFUND pay_jAulA3QMr2qEwq,7277637.24,UTR132212122337
04-07-2026,04-07-2026,UTR275307299565,2297.0,,RAZORPAY REFUND pay_0Xv00kKXR4bR6I,7275340.24,UTR275307299565
05-07-2026,05-07-2026,UTR330066714617,,25637.54,RAZORPAY SETTLEMENT setl_MiuaP8jrh0KRw7,7300977.78,UTR330066714617
07-07-2026,07-07-2026,UTR293202255204,,39183.8,RAZORPAY SETTLEMENT setl_S0eUOXnPKhREbg,7340161.58,UTR293202255204
08-07-2026,08-07-2026,UTR881896116608,,26669.88,RAZORPAY SETTLEMENT setl_8hrAwuwt5nb63W,7366831.46,UTR881896116608
08-07-2026,08-07-2026,UTR712368165235,590.0,,NEFT OUTWARD CHARGE,7366241.46,UTR712368165235
09-07-2026,09-07-2026,UTR259634413517,,1457097.33,RAZORPAY SETTLEMENT setl_b95AwkoEdLdS7A,8823338.79,UTR259634413517
10-07-2026,10-07-2026,UTR147764874987,,192687.23,RAZORPAY SETTLEMENT setl_1bohrO3vq1ZQNn,9016026.02,UTR147764874987
10-07-2026,10-07-2026,UTR228059665448,4578.0,,RAZORPAY REFUND pay_QPHhalZaAHv9O5,9011448.02,UTR228059665448
11-07-2026,11-07-2026,UTR301927470105,,504662.9,RAZORPAY SETTLEMENT setl_SrphM4zE4Nw3te,9516110.92,UTR301927470105
12-07-2026,12-07-2026,UTR289966487016,,5929.33,RAZORPAY SETTLEMENT setl_BP9xAkpDgZpAgI,9522040.25,UTR289966487016
12-07-2026,12-07-2026,UTR103818069861,826.0,,ACCT MAINTENANCE CHARGE,9521214.25,UTR103818069861
13-07-2026,13-07-2026,UTR860479926433,,29237.6,RAZORPAY SETTLEMENT setl_VXFcb4XIgyVfkG,9550451.85,UTR860479926433
14-07-2026,14-07-2026,UTR523148860519,,46802.64,RAZORPAY SETTLEMENT setl_HGYPBjbS8RCmcC,9597254.49,UTR523148860519
15-07-2026,15-07-2026,UTR578722677486,,9016.61,RAZORPAY SETTLEMENT setl_pCoec1wGrsXkRb,9606271.1,UTR578722677486
16-07-2026,16-07-2026,UTR226183572600,,65217.78,RAZORPAY SETTLEMENT setl_JlGGwAApbhamP2,9671488.88,UTR226183572600
17-07-2026,17-07-2026,UTR658473740586,,93774.91,RAZORPAY SETTLEMENT setl_myZ5BpByZeKGZR,9765263.79,UTR658473740586
17-07-2026,17-07-2026,UTR795102983550,48198.0,,RAZORPAY REFUND pay_wkWolGc97KYZUz,9717065.79,UTR795102983550
18-07-2026,18-07-2026,UTR837002929702,,86228.76,RAZORPAY SETTLEMENT setl_Db8yAtuKUXdKPh,9803294.55,UTR837002929702
19-07-2026,19-07-2026,UTR713612681983,,64791.27,RAZORPAY SETTLEMENT setl_pbOKH6eSU1Nqap,9868085.82,UTR713612681983
19-07-2026,19-07-2026,UTR984417734444,3061.0,,RAZORPAY REFUND pay_TfVc0PkwBM2fYl,9865024.82,UTR984417734444
20-07-2026,20-07-2026,UTR631187533573,,402371.52,RAZORPAY SETTLEMENT setl_9eWcLFYsZY5yL9,10267396.34,UTR631187533573
20-07-2026,20-07-2026,UTR523977120901,236.0,,ACCT MAINTENANCE CHARGE,10267160.34,UTR523977120901
21-07-2026,21-07-2026,UTR701343542614,,461733.64,RAZORPAY SETTLEMENT setl_NOmKQYxIszxgnr,10728893.98,UTR701343542614
22-07-2026,22-07-2026,UTR998007273115,,7036.3,RAZORPAY SETTLEMENT setl_dDqoktlT7PKK49,10735930.28,UTR998007273115
23-07-2026,23-07-2026,UTR307427471528,,1402.61,RAZORPAY SETTLEMENT setl_BaS4kA9ObCFYHk,10737332.89,UTR307427471528
24-07-2026,24-07-2026,UTR522507406246,,4086.65,RAZORPAY SETTLEMENT setl_fdjPbXMf566XoQ,10741419.54,UTR522507406246
25-07-2026,25-07-2026,UTR202206733669,,30235.03,RAZORPAY SETTLEMENT setl_UJK2WBjg87THM7,10771654.57,UTR202206733669
25-07-2026,25-07-2026,UTR165664740914,3445.0,,RAZORPAY REFUND pay_xDALAj7DVAf4sH,10768209.57,UTR165664740914
25-07-2026,25-07-2026,UTR898508590850,177.0,,NEFT OUTWARD CHARGE,10768032.57,UTR898508590850
25-07-2026,25-07-2026,UTR709446157251,3066.0,,RAZORPAY REFUND pay_ENKzc5xJmBp4SF,10764966.57,UTR709446157251
26-07-2026,26-07-2026,UTR814336060257,,2744.14,RAZORPAY SETTLEMENT setl_5FY0853siUB2wF,10767710.71,UTR814336060257
27-07-2026,27-07-2026,UTR805422473796,,3393.58,RAZORPAY SETTLEMENT setl_5JBFBakYqcDDf0,10771104.29,UTR805422473796
27-07-2026,27-07-2026,UTR194246208325,4216.0,,RAZORPAY REFUND pay_PU6zUjzgEz6cwB,10766888.29,UTR194246208325
29-07-2026,29-07-2026,UTR660878201350,,31177.2,RAZORPAY SETTLEMENT setl_0xfKfOfj3PKXLA,10798065.49,UTR660878201350
30-07-2026,30-07-2026,UTR154782811039,,10228.27,RAZORPAY SETTLEMENT setl_4jTy6P0PdcvSqX,10808293.76,UTR154782811039
01-08-2026,01-08-2026,UTR631657546626,,4433.67,RAZORPAY SETTLEMENT setl_WAvc3Nkr3QIuxg,10812727.43,UTR631657546626
02-08-2026,02-08-2026,UTR560748473227,,31393.35,RAZORPAY SETTLEMENT setl_5K1ONlN25RrLxp,10844120.78,UTR560748473227
03-08-2026,03-08-2026,UTR927996845029,,433627.23,RAZORPAY SETTLEMENT setl_qLbCteaIgi8wVZ,11277748.01,UTR927996845029
04-08-2026,04-08-2026,UTR806738292187,,2508.6,RAZORPAY SETTLEMENT setl_zHhFJWnHHFM2iq,11280256.61,UTR806738292187
05-08-2026,05-08-2026,UTR311047188326,,7150.67,RAZORPAY SETTLEMENT setl_D9UBJAMdsnZKUS,11287407.28,UTR311047188326
06-08-2026,06-08-2026,UTR440654737695,,356009.91,RAZORPAY SETTLEMENT setl_wULY92SgnS3v8c,11643417.19,UTR440654737695
07-08-2026,07-08-2026,UTR748464650651,,46602.0,RAZORPAY SETTLEMENT setl_pIfuZbk4rsihgt,11690019.19,UTR748464650651
07-08-2026,07-08-2026,UTR970487999482,440.0,,RAZORPAY REFUND pay_2ccsqQXxR5Khtj,11689579.19,UTR970487999482
07-08-2026,07-08-2026,UTR134779176905,3452.0,,RAZORPAY REFUND pay_fPOdMTUAffneKG,11686127.19,UTR134779176905
08-08-2026,08-08-2026,UTR314764041079,,284571.03,RAZORPAY SETTLEMENT setl_blrbJydUE4UVhq,11970698.22,UTR314764041079
09-08-2026,09-08-2026,UTR949258208209,,28680.24,RAZORPAY SETTLEMENT setl_HUNH7T1CIgeqG9,11999378.46,UTR949258208209
09-08-2026,09-08-2026,UTR121451579843,25622.0,,RAZORPAY REFUND pay_Oy4CqpIqK3yn9F,11973756.46,UTR121451579843
10-08-2026,10-08-2026,UTR545609715276,2053.0,,RAZORPAY REFUND pay_HRtAN5VK0sjpNr,11971703.46,UTR545609715276
11-08-2026,11-08-2026,UTR301502682635,,5548.39,RAZORPAY SETTLEMENT setl_W0M4M6HMHXp8yM,11977251.85,UTR301502682635
12-08-2026,12-08-2026,UTR503741993903,,561488.3,RAZORPAY SETTLEMENT setl_B5xt3fvqtOgMSQ,12538740.15,UTR503741993903
13-08-2026,13-08-2026,UTR996863773845,,58709.77,RAZORPAY SETTLEMENT setl_dQDwRxRveeQdZH,12597449.92,UTR996863773845
13-08-2026,13-08-2026,UTR747432795474,2879.0,,RAZORPAY REFUND pay_abMh0X9zuINamr,12594570.92,UTR747432795474
14-08-2026,14-08-2026,UTR582664943234,,459124.23,RAZORPAY SETTLEMENT setl_VYmtzRhFqxdEdK,13053695.15,UTR582664943234
15-08-2026,15-08-2026,UTR185186772816,,56546.25,RAZORPAY SETTLEMENT setl_OsiGJlsxx1WTIA,13110241.4,UTR185186772816
16-08-2026,16-08-2026,UTR122898220618,,55229.91,RAZORPAY SETTLEMENT setl_EdWqaXtAwUv3JW,13165471.31,UTR122898220618
16-08-2026,16-08-2026,UTR859792339209,24070.0,,RAZORPAY REFUND pay_CFyFP0YMkFBl6O,13141401.31,UTR859792339209
17-08-2026,17-08-2026,UTR576939269929,,18971.53,RAZORPAY SETTLEMENT setl_ttnWXbi1wX2W0l,13160372.84,UTR576939269929
18-08-2026,18-08-2026,UTR838291507022,,96496.77,RAZORPAY SETTLEMENT setl_zRdyuLodRPjlks,13256869.61,UTR838291507022
18-08-2026,18-08-2026,UTR565531221958,1130.0,,RAZORPAY REFUND pay_kgjjm7bzQ5DATb,13255739.61,UTR565531221958
19-08-2026,19-08-2026,UTR199938187638,,281559.34,RAZORPAY SETTLEMENT setl_7XA2RDyVMygkRg,13537298.95,UTR199938187638
20-08-2026,20-08-2026,UTR113201981079,,69106.69,RAZORPAY SETTLEMENT setl_x8F7HGydV8aDGy,13606405.64,UTR113201981079
20-08-2026,20-08-2026,UTR812556493794,23546.0,,RAZORPAY REFUND pay_ZswsRhcds6NUga,13582859.64,UTR812556493794
21-08-2026,21-08-2026,UTR428010811873,,44802.94,RAZORPAY SETTLEMENT setl_S9h2kK6BWaXB9z,13627662.58,UTR428010811873
21-08-2026,21-08-2026,UTR198215180681,37605.0,,RAZORPAY REFUND pay_Xi1H8Wfft5krwf,13590057.58,UTR198215180681
21-08-2026,21-08-2026,UTR201829202540,4401.0,,RAZORPAY REFUND pay_rcjDNtbLx6wADd,13585656.58,UTR201829202540
22-08-2026,22-08-2026,UTR348861555518,,5133.52,RAZORPAY SETTLEMENT setl_qkYeT5dGoVDovK,13590790.1,UTR348861555518
22-08-2026,22-08-2026,UTR413475839870,2307.0,,RAZORPAY REFUND pay_DE3i5CyiSN8mhQ,13588483.1,UTR413475839870
22-08-2026,22-08-2026,UTR984770073254,7743.0,,RAZORPAY REFUND pay_nXxG7qEULuQvto,13580740.1,UTR984770073254
23-08-2026,23-08-2026,UTR694625427197,,7307.7,RAZORPAY SETTLEMENT setl_xUcI8NwqFthIUF,13588047.8,UTR694625427197
24-08-2026,24-08-2026,UTR208765455495,,476319.96,RAZORPAY SETTLEMENT setl_2wU6cPAswOujm2,14064367.76,UTR208765455495
26-08-2026,26-08-2026,UTR776022798408,,21447.18,RAZORPAY SETTLEMENT setl_g6jSBVMT8QMYfB,14085814.94,UTR776022798408
27-08-2026,27-08-2026,UTR752475574006,,370055.36,RAZORPAY SETTLEMENT setl_VVpsNUEb1IxkeD,14455870.3,UTR752475574006
28-08-2026,28-08-2026,UTR947263321802,,1593642.54,RAZORPAY SETTLEMENT setl_SOd0LxpcuNcLXo,16049512.84,UTR947263321802
29-08-2026,29-08-2026,UTR618053001377,,479432.72,RAZORPAY SETTLEMENT setl_SFiMo02a11WTFS,16528945.56,UTR618053001377
29-08-2026,29-08-2026,UTR671410857169,2810.0,,RAZORPAY REFUND pay_t2YQliACNySiUa,16526135.56,UTR671410857169
29-08-2026,29-08-2026,UTR115527060686,1500.0,,RAZORPAY REFUND pay_TUvIIpzEisUOVb,16524635.56,UTR115527060686
